nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,MSI-H/dMMR,HER2,PD-L1,POLE,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT03284424,Study of Pembrolizumab (MK-3475) in Adults With Recurrent/Metastatic Cutaneous Squamous Cell Carcinoma (cSCC) or Locally Advanced Unresectable cSCC (MK-3475-629/KEYNOTE-629),PHASE2,Phase 2,COMPLETED,159,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03476681,Study of NEO-201 in Solid Tumors Expansion Cohorts,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,121,"Precision Biologics, Inc",Precision Biologics,3,1,0,single_arm,1,neo-201 in combination with pembrolizumab,neo-201 in combination with pembrolizumab,Core 1 O-glycans,Monoclonal Antibody,BRAF;MMR;MSI;MSI-H;PD-L1;ROS1;SMICA;TMB;dMMR;genomic,1,1,1,0,1,0,0,0,1,"MSI-H/dMMR, PD-L1+",metastatic · small-cell · measurable (RECIST) · ECOG 2
NCT03526432,Phase II Study of Atezolizumab + Bevacizumab in Endometrial Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,110,University of Oklahoma,University of Oklahoma,23,0,1,single_arm,1,atezolizumab;bevacizumab,atezolizumab;bevacizumab,VEGF/VEGFR,Monoclonal Antibody,MET;MSI;PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03555422,Maintenance With Selinexor/Placebo After Combination Chemotherapy in Participants With Endometrial Cancer [SIENDO],PHASE3,Phase 3,COMPLETED,263,Karyopharm Therapeutics Inc,Karyopharm Therapeutics,29,1,0,placebo_comparator,2,matching placebo for selinexor,selinexor,XPO1,Small Molecule,MSI;MSI-H;PR;dMMR,0,1,0,0,1,0,1,1,1,PD-L1+,metastatic · 1st-line · small-cell · measurable (RECIST)
NCT03564340,Study of REGN4018 (Ubamatamab) Administered Alone or in Combination With Cemiplimab in Adult Patients With Recurrent Ovarian Cancer or Other Recurrent Mucin-16 Expressing (MUC16+) Cancers,PHASE1;PHASE2,Phase 2,RECRUITING,890,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,2,ubamatamab,cemiplimab;sarilumab;tocilizumab;ubamatamab,MUC16,Bispecific Antibody,MUC16;PD-L1,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic
NCT03614949,"SBRT and Atezolizumab in the Management of Recurrent, Persistent, or Metastatic Cervical Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,21,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,atezolizumab;stereotactic body radiation therapy (sbrt),atezolizumab;stereotactic body radiation therapy (sbrt),PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST) · ECOG 2
NCT03651206,Recurrent Ovarian CarcinoSarcoma Anti-pd-1 Niraparib,PHASE2;PHASE3,Phase 3,RECRUITING,138,ARCAGY/ GINECO GROUP,ARCAGY/ GINECO GROUP,16,0,0,active_comparator,3,chemotherapy drugs,niraparib;niraparib + tsr-042 (dostarlimab),PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03668340,AZD1775 in Women With Recurrent or Persistent Uterine Serous Carcinoma or Uterine Carcinosarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,49,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,3,azd1775,azd1775,WEE1,Small Molecule,KEAP1;KRAS;MSI;MSI-H;PD-L1;STK11,0,1,0,0,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT03675893,RESOLVE: Abemaciclib + Letrozole +/- Metformin or Gedatolisib in Endometrial Cancer,PHASE2,Phase 2,RECRUITING,110,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,6,abemaciclib,abemaciclib;gedatolisib;letrozole;ly3023414;metformin,ER,Small Molecule,ER;HER2,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT03682289,Ceralasertib (AZD6738) Alone and in Combination With Olaparib or Durvalumab in Patients With Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,83,Rahul Aggarwal,Rahul Aggarwal,7,0,1,multi_experimental,3,ceralasertib,ceralasertib;durvalumab;olaparib,ATM,Small Molecule,BRCA1;BRCA2;HRR;MET;MMR;MSI,0,1,1,0,0,0,0,1,1,MSI-H/dMMR,metastatic · 2nd-line+ · ductal · measurable (RECIST)
NCT03832361,Evaluation of Mirvetuximab Soravtansine (IMGN853) in Women With Folate Receptor-α Positive Endometrial Cancer,PHASE2,Phase 2,RECRUITING,50,Alessandro Santin,Alessandro Santin,1,0,1,single_arm,1,imgn853,imgn853,FRα,ADC,Folate Receptor-α,1,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT03833479,TSR-042 as Maintenance Therapy for Patients With High-risk Locally Advanced Cervical Cancer After Chemo-radiation,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,134,Grupo Español de Investigación en Cáncer de Ovario,Grupo Español de Investigación en Cáncer de Ovario,8,0,1,multi_experimental,2,,no further treatment;tsr-042,PD-1,Monoclonal Antibody,PD-L1;PR,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03835819,A Phase 2 Study of Mirvetuximab Soravtansine (IMGN853) and Pembrolizumab in Endometrial Cancer (EC),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,18,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,single_arm,1,imgn853;pembrolizumab,imgn853;pembrolizumab,PD-1,Monoclonal Antibody,MMR;PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT03860272,Fc-Engineered Anti-CTLA-4 Monoclonal Antibody in Advanced Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,499,Agenus Inc.,Agenus,27,1,0,multi_experimental,3,botensilimab,balstilimab;botensilimab,PD-1,Monoclonal Antibody,PD-L1;genomic,1,1,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT03932409,Frontline Immunotherapy Combined With Radiation and Chemotherapy in High Risk Endometrial Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,45,University of Oklahoma,University of Oklahoma,23,0,1,single_arm,1,carboplatin;paclitaxel;pembrolizumab;vaginal cuff brachytherapy (vcb),carboplatin;paclitaxel;pembrolizumab;vaginal cuff brachytherapy (vcb),PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic · squamous
NCT03955978,TSR-042 in Addition to Standard of Care Definitive Radiation for Inoperable Endometrial Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,10,Washington University School of Medicine,Washington University School of Medicine,178,0,0,single_arm,1,blood draw for immune response;brachytherapy;endometrial biopsy;tsr-042,blood draw for immune response;brachytherapy;endometrial biopsy;tsr-042,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic · squamous
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,0,1,1,0,1,0,1,"HER2+, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04008797,A Study of E7386 in Combination With Other Anticancer Drug(s) in Participants With Solid Tumor,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,301,Eisai Inc.,Eisai,177,1,0,multi_experimental,9,lenvatinib,doxorubicin;e7386;lenvatinib;paclitaxel,CBP,Small Molecule,BRAF;KRAS;MSI;MSI-H;TP53,0,1,1,0,0,0,0,1,1,MSI-H/dMMR,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04014530,Pembrolizumab With Ataluren in Patients With Metastatic pMMR and dMMR Colorectal Carcinoma or Metastatic dMMR Endometrial Carcinoma: the ATAPEMBRO Study,PHASE1;PHASE2,Phase 2,RECRUITING,47,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),19,0,1,multi_experimental,3,ataluren + pembrolizumab,ataluren + pembrolizumab,PD-1,Monoclonal Antibody,MMR;PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04044859,ADP-A2M4CD8 as Monotherapy or in Combination With Either Nivolumab or Pembrolizumab in HLA-A2+ Subjects With MAGE-A4 Positive Tumors (SURPASS),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,"USWM CT, LLC",USWM CT,8,1,0,single_arm,1,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04098744,Artesunate Vaginal Inserts for the Treatment of Cervical Intraepithelial Neoplasia (CIN2/3),PHASE2,Phase 2,RECRUITING,78,"Frantz Viral Therapeutics, LLC",Frantz Viral Therapeutics,1,1,0,placebo_comparator,2,placebo vaginal insert,artesunate vaginal insert,,,,0,1,0,0,0,0,0,0,0,,adenoca.
NCT04104776,A Study of Tulmimetostat DZR123 (CPI-0209) in Patients With Advanced Solid Tumors and Lymphomas,PHASE1;PHASE2,Phase 2,RECRUITING,300,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,10,tulmimetostat,enzalutamide;tulmimetostat,EZH2,Small Molecule,AR;ARID1A;KDM4A;biomarker,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04106414,Study of BMS-986205 and Nivolumab in Endometrial Cancer or Endometrial Carcinosarcoma That Has Not Responded to Treatment,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,2,nivolumab,bms- 986205;nivolumab,PD-1,Monoclonal Antibody,CD30;MSI;MSI-H;PD-L1;genomic,1,1,1,0,1,0,0,1,1,"MSI-H/dMMR, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04140526,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,733,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,onc-392,docetaxel;onc-392;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04152499,"Phase I-II, FIH, TROP2 ADC, Advanced Unresectable/Metastatic Solid Tumors, Refractory to Standard Therapies (KL264-01)",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1410,Klus Pharma Inc.,Klus Pharma,4,1,0,multi_experimental,11,skb264,skb264,TROP2,ADC,ER;HER2;PR;TROP2,1,1,0,1,0,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04188548,A Study of LY3484356 in Participants With Advanced or Metastatic Breast Cancer or Endometrial Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,379,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,8,ly3484356,abemaciclib;alpelisib;aromatase inhibitor (ai);everolimus;ly3484356;pertuzumab;trastuzumab,ER,Small Molecule,ER;ESR1;HER2;PIK3CA;PTEN;ctDNA,0,1,0,1,0,0,1,0,1,HER2+,metastatic · 1st-line
NCT04196257,BP1001-A in Patients With Advanced or Recurrent Solid Tumors,PHASE1,Phase 1,RECRUITING,50,"Bio-Path Holdings, Inc.",Bio-Path,6,1,0,multi_experimental,2,,bp1001-a (liposomal grb2 antisense oligonucleotide);bp1001-a (liposomal grb2 antisense oligonucleotide) with paclitaxel,GRB2,,,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04251416,A Study of Sacituzumab Govitecan (IMMU-132) in Endometrial Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,Yale University,Yale University,65,0,1,single_arm,1,sacituzumab govitecan,sacituzumab govitecan,TROP2,ADC,TROP2,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04269200,Durvalumab With or Without Olaparib as Maintenance Therapy After First-Line Treatment of Advanced and Recurrent Endometrial Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,805,AstraZeneca,AstraZeneca,780,1,1,active_comparator,3,carboplatin;durvalumab placebo;olaparib placebo;paclitaxel,carboplatin;durvalumab;olaparib;olaparib placebo;paclitaxel,PARP,Small Molecule,BRCA1;BRCA2;PD-L1,0,1,0,0,1,0,1,0,1,PD-L1+,metastatic · 1st-line · measurable (RECIST)
NCT04389632,A Study of Sigvotatug Vedotin in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,1006,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,5,sigvotatug vedotin,carboplatin;cisplatin;pembrolizumab;sigvotatug vedotin,PD-1,Monoclonal Antibody,HER2;PD-L1,1,1,0,1,0,0,1,1,1,HER2−,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04393285,Abemaciclib and Letrozole to Treat Endometrial Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,53,Gynecologic Oncology Group,Gynecologic Oncology,6,0,1,single_arm,1,abemaciclib;letrozole,abemaciclib;letrozole,ER,Small Molecule,ER;HER2;MSI;PR,0,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04422366,"Evaluate the Efficacy, Immunogenicity and Safety of 9-valent HPV Recombinant Vaccine in Chinese Healthy Females",PHASE3,Phase 3,RECRUITING,8000,"Shanghai Bovax Biotechnology Co., Ltd.",Shanghai Bovax Biotechnology,12,1,0,active_comparator,2,gardasil,11;16;18;31;33;45;52 and 58) recombinant vaccine (hansenula polymorpha);9-valent human papillomavirus (types 6,HPV,Oncolytic Virus,HPV;MET,1,1,0,0,0,0,0,0,0,,adjuvant · squamous
NCT04469764,Abemaciclib for the Treatment of Recurrent Ovarian or Endometrial Cancer,PHASE2,Phase 2,RECRUITING,32,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,single_arm,1,abemaciclib;anastrozole;letrozole,abemaciclib;anastrozole;letrozole,ER,Small Molecule,ER;HER2;genomic,0,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT04486352,A Study of Targeted Agents for Patients With Recurrent or Persistent Endometrial Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,148,"Alliance Foundation Trials, LLC.","Alliance Foundation Trials, LLC.",15,0,1,multi_experimental,7,,abemaciclib;atezolizumab - 21 day cycle;atezolizumab - 28 day cycle;bevacizumab;giredestrant;inavolisib;ipatasertib;letrozole;talazoparib;tiragolumab;trastuzumab emtansine,VEGF/VEGFR,Monoclonal Antibody,CDX;PD-L1;biomarker;genomic,1,1,0,0,1,0,0,0,1,PD-L1+,recurrent · squamous · measurable (RECIST)
NCT04537156,"Efficacy, Immunogenicity and Safety Study of Recombinant Human Papillomavirus Vaccine(6,11,16,18,31,33,45,52,58 Type)(E.Coli)",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,9327,Xiamen University,Xiamen University,9,0,0,active_comparator,2,bivalent hpv vaccine,nonavalent hpv vaccine,HPV,Oncolytic Virus,HPV infection,1,1,0,0,0,0,0,0,0,,
NCT04579380,Basket Study of Tucatinib and Trastuzumab in Solid Tumors With HER2 Alterations,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,217,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,single_arm,1,fulvestrant;trastuzumab;tucatinib,fulvestrant;trastuzumab;tucatinib,HER2,Small Molecule,HER2;MET,0,1,0,1,0,0,0,0,1,HER2+,metastatic · adenoca. · measurable (RECIST)
NCT04585750,The Evaluation of PC14586 in Patients With Advanced Solid Tumors Harboring a TP53 Y220C Mutation (PYNNACLE),PHASE1;PHASE2,Phase 2,RECRUITING,300,"PMV Pharmaceuticals, Inc",PMV Pharmaceuticals,2,1,1,multi_experimental,9,rezatapopt,pembrolizumab;rezatapopt,PD-1,Monoclonal Antibody,KRAS;PD-L1,1,1,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT04590326,"A Study to Find Out How Safe REGN5668 is and How Well it Works In Adult Women When Given With Either Cemiplimab, or Cemiplimab + Fianlimab, or Ubamatamab",PHASE1;PHASE2,Phase 2,RECRUITING,612,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,2,regn5668,cemiplimab;cemiplimab + fianlimab [fixed dose combination (fdc)];regn5668;sarilumab;ubamatamab,MUC16,Bispecific Antibody,MUC16,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04634877,Study of Pembrolizumab (MK-3475) in Combination With Adjuvant Chemotherapy With or Without Radiotherapy in Participants With Newly Diagnosed Endometrial Cancer After Surgery With Curative Intent (MK-3475-B21 / KEYNOTE-B21 / ENGOT-en11 / GOG-3053),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,990,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,placebo_comparator,2,brachytherapy;carboplatin;cisplatin;cisplatin (as radiosensitizer);docetaxel;external beam radiotherapy (ebrt);paclitaxel;placebo for pembrolizumab,brachytherapy;carboplatin;cisplatin;cisplatin (as radiosensitizer);docetaxel;external beam radiotherapy (ebrt);paclitaxel;pembrolizumab,PD-1,Monoclonal Antibody,MMR;PD-L1,1,1,0,0,1,1,0,0,1,"PD-L1+, POLEm",metastatic · squamous
NCT04644068,Study of AZD5305 as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,702,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,azd5305,azd5305;camizestrant;carboplatin;dato-dxd;paclitaxel;t- dxd,PARP,Small Molecule,,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · ECOG 0
NCT04652076,GYNecological Cancers Treated with NETrin MAbs in Combination with Chemotherapy and /or Pembrolizumab,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,240,NETRIS Pharma,NETRIS Pharma,1,1,1,multi_experimental,4,,,NET1,Monoclonal Antibody,MSI;PD-L1,1,0,0,0,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST) · ECOG 0-1
NCT04657068,A Study of ART0380 for the Treatment of Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,542,Artios Pharma Ltd,Artios Pharma,4,1,0,multi_experimental,10,art0380,art0380;gemcitabine;irinotecan,ATR,Small Molecule,,0,1,0,0,0,0,1,1,0,,metastatic · 1st-line · squamous · measurable (RECIST)
NCT04706962,TH1902 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,70,Theratechnologies,Theratechnologies,1,1,0,single_arm,1,th1902,th1902,SORT1,Peptide,MET;SORT1,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT04712851,Pembrolizumab for the Treatment of Cervical Intraepithelial Neoplasia,PHASE2,Phase 2,RECRUITING,25,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,0,1,PD-L1+,squamous
NCT04716686,Niraparib Monotherapy as Maintain and Recurrent Treatment of Endometrial Serous Carcinoma,PHASE2,Phase 2,RECRUITING,83,Shandong University,Shandong University,3,0,0,multi_experimental,2,niraparib,niraparib,PARP,Small Molecule,BRCA1;BRCA2;HRD;PR,0,1,0,0,0,0,1,1,0,,metastatic · 1st-line · squamous
NCT04774419,Radiation and TSR-042 (Dostarlimab) in People With Endometrial Cancer After They Receive Surgery,PHASE2,Phase 2,RECRUITING,62,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,multi_experimental,2,dostarlimab,dostarlimab;hypofractionated imrt;intensity modulated radiation therapy (imrt),PD-1,Monoclonal Antibody,MSI;MSI-H;PD-L1;dMMR,1,1,1,0,1,1,0,0,1,"MSI-H/dMMR, PD-L1+, POLEm",metastatic · measurable (RECIST)
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,0,0,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
