nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,RAS/RAF_wt,MSI-H/dMMR,MSS/pMMR,HER2,BRAF_mut,KRAS_G12C,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03175224,APL-101 Study of Subjects With NSCLC With c-Met EXON 14 Skip Mutations and c-Met Dysregulation Advanced Solid Tumors,PHASE2,Phase 2,RECRUITING,497,Apollomics Inc.,Apollomics,4,1,0,multi_experimental,9,apl-101 oral capsules,apl-101 oral capsules,MET,Small Molecule,ALK;BRAF;KRAS;MET;NTRK;PR;RET;ROS1;c-MET Dysregulation,0,1,0,0,0,0,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST)
NCT03228667,QUILT-3.055: A Study of Combination Immunotherapies in Patients Who Have Previously Received Treatment With Immune Checkpoint Inhibitors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"ImmunityBio, Inc.",ImmunityBio,63,1,0,multi_experimental,6,,n-803 + atezolizumab;n-803 + atezolizumab + pd-l1 t-hank;n-803 + avelumab;n-803 + avelumab + pd-l1 t-hank;n-803 + docetaxel + nivolumab;n-803 + docetaxel + pembrolizumab;n-803 + durvalumab;n-803 + durvalumab + pd-l1 t-hank;n-803 + nivolumab;n-803 + nivolumab + pd-l1 t-hank;n-803 + pembrolizumab;n-803 + pembrolizumab + pd-l1 t-hank,PD-1,Monoclonal Antibody,ALK;BRAF;HER2;KRAS;MET;NTRK;PD-L1;PR;RET;ROS1,1,1,0,0,0,1,0,0,0,0,1,HER2+,recurrent · measurable (RECIST)
NCT03284424,Study of Pembrolizumab (MK-3475) in Adults With Recurrent/Metastatic Cutaneous Squamous Cell Carcinoma (cSCC) or Locally Advanced Unresectable cSCC (MK-3475-629/KEYNOTE-629),PHASE2,Phase 2,COMPLETED,159,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,CDX;MMR;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03350126,iRECIST Evaluation's Relevance for DCR in MMR/MSI Metastatic Colorectal Cancer Patients on Nivolumab and Ipilimumab,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,57,GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR - Multidisciplinary Oncology Cooperative Group,13,0,1,single_arm,1,ipilimumab;nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,MSI;MSI-H;PD-L1;biomarker;dMMR,1,1,1,1,1,0,0,0,0,0,1,"RAS/RAF wt, MSI-H/dMMR, MSS/pMMR",metastatic · adenoca. · measurable (RECIST) · ECOG 0-1
NCT03368963,TAS102 in Combination With NAL-IRI in Advanced GI Cancers,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,Emory University,Emory University,116,0,0,single_arm,1,nanoliposomal irinotecan;trifluridine/tipiracil,nanoliposomal irinotecan;trifluridine/tipiracil,TOP1,Small Molecule,,0,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03428477,EPA for Metastasis Trial 2,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,418,"Mark A Hull, PhD FRCP","Mark A Hull, PhD FRCP",1,0,0,placebo_comparator,2,,icosapent ethyl,,,,0,0,0,0,0,0,0,0,0,0,0,,metastatic · ductal
NCT03485209,Efficacy and Safety Study of Tisotumab Vedotin for Patients With Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,7,tisotumab vedotin,carboplatin;cisplatin;pembrolizumab;tisotumab vedotin,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03516708,Epacadostat (INCB024360) Added to Preoperative Chemoradiation in Patients With Locally Advanced Rectal Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,49,Washington University School of Medicine,Washington University School of Medicine,178,0,0,active_comparator,3,CAPOX;FOLFOX;short-course radiation therapy,CAPOX;FOLFOX;epacadostat;short-course radiation therapy,IDO1,Small Molecule,MMR;MSI;MSI-H,0,1,0,1,0,0,0,0,0,0,1,MSI-H/dMMR,metastatic
NCT03526835,A Study of Bispecific Antibody MCLA-158 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,560,Merus B.V.,Merus,8,1,0,multi_experimental,4,,mcla-158;mcla-158 + folfiri;mcla-158 + folfox;mcla-158 + pembrolizumab,EGFR,Monoclonal Antibody,BRAF;HER2;KRAS;PD-L1,1,1,0,0,1,1,0,0,1,1,1,"MSS/pMMR, HER2+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03539822,Cabozantinib Plus Durvalumab With or Without Tremelimumab in Patients With Gastroesophageal Cancer and Other Gastrointestinal Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,117,Anwaar Saeed,Anwaar Saeed,3,0,1,multi_experimental,4,cabozantinib;durvalumab,cabozantinib;durvalumab;tremelimumab,MET,Small Molecule,MET;MMR;MSI;PD-L1,0,1,1,1,0,0,0,0,1,0,1,"RAS/RAF wt, MSI-H/dMMR",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03635021,"Study to Evaluate the Efficacy of FOLFOX + Panitumumab Followed by FOLFIRI + Bevacizumab (Sequence 1) Versus FOLFOX + Bevacizumab Followed by FOLFIRI + Panitumumab (Sequence 2) in Untreated Patients With Wild-type RAS Metastatic, Primary Left-sided, Unresectable Colorectal Cancer",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,419,Spanish Cooperative Group for the Treatment of Digestive Tumours (TTD),Spanish Cooperative Group for the Treatment of Digestive Tumours (TTD),23,0,1,multi_experimental,2,FOLFIRI;FOLFOX;bevacizumab;panitumumab,FOLFIRI;FOLFOX;bevacizumab;panitumumab,VEGF/VEGFR,Monoclonal Antibody,KRAS;RAS,1,1,1,0,0,0,0,0,1,0,1,RAS/RAF wt,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03659448,Performance of SGM-101 for the Delineation of Primary and Recurrent Tumor and Metastases in Patients Undergoing Surgery for Colorectal Cancer,PHASE3,Phase 3,RECRUITING,300,Surgimab,Surgimab,2,1,0,active_comparator,2,sgm-101,,CEA,Monoclonal Antibody,CEA,1,0,0,0,0,0,0,0,0,0,0,,metastatic · squamous
NCT03678883,9-ING-41 in Patients With Advanced Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Actuate Therapeutics Inc.,Actuate Therapeutics,4,1,0,multi_experimental,8,9-ing-41,9-ing-41;carboplatin.;doxorubicin.;gemcitabine - 21 day cycle;gemcitabine - 28 day cycle;irinotecan;lomustine;nab paclitaxel.;paclitaxel.,GSK3B,Small Molecule,HER2,0,1,0,0,0,1,0,0,1,1,1,HER2+,metastatic · 1st-line · measurable (RECIST) · ECOG 0
NCT03692429,alloSHRINK - Standard cHemotherapy Regimen and Immunotherapy With Allogeneic NKG2D-based CYAD-101 Chimeric Antigen Receptor T-cells,PHASE1,Phase 1,RECRUITING,49,Celyad Oncology SA,Celyad Oncology,10,1,0,multi_experimental,2,cyad-101,FOLFIRI;FOLFOX;cyad-101,NKG2D,CAR-T,,1,1,0,0,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT03715933,Phase 1 Study of INBRX-109 in Subjects With Locally Advanced or Metastatic Solid Tumors Including Sarcomas,PHASE1,Phase 1,RECRUITING,411,"Inhibrx Biosciences, Inc",Inhibrx Biosciences,4,1,0,multi_experimental,14,inbrx-109,bevacizumab;carboplatin;fluorouracil;inbrx-109;irinotecan;leucovorin;pemetrexed;temozolomide;trifluridine + tipiracil,DR5,Monoclonal Antibody,IDH1;IDH2,1,1,0,0,0,0,0,0,1,1,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03833700,A Study of E7386 in Participants With Advanced Solid Tumor Including Colorectal Cancer (CRC),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,70,"Eisai Co., Ltd.",Eisai,177,1,0,multi_experimental,3,e7386,e7386,β-catenin,Small Molecule,CTNNB1,0,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03845166,A Study of XL092 as Single-Agent and Combination Therapy in Subjects With Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,325,Exelixis,Exelixis,52,1,0,multi_experimental,5,xl092,atezolizumab;avelumab;xl092,PD-L1,Small Molecule,BRAF;ER;KRAS;MMR;MSI;MSI-H;PD-L1;PR;biomarker;dMMR,0,1,1,1,0,0,1,0,0,1,1,"RAS/RAF wt, MSI-H/dMMR, BRAFm",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03851614,"Study of DNA Damage, Angiogenesis, and PD-L1 Inhibitors in Advanced Solid Tumors",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,90,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,multi_experimental,2,durvalumab,cediranib;durvalumab;olaparib,PD-L1,Monoclonal Antibody,EGFR;MET;MMR;biomarker;genomic,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0-1
NCT03860272,Fc-Engineered Anti-CTLA-4 Monoclonal Antibody in Advanced Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,499,Agenus Inc.,Agenus,27,1,0,multi_experimental,3,botensilimab,balstilimab;botensilimab,PD-1,Monoclonal Antibody,PD-L1;genomic,1,1,0,0,0,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT03869892,Phase III Study in First-line Treatment of Patients With Metastatic Colorectal Cancer Who Are Not Candidate for Intensive Therapy.,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,856,Institut de Recherches Internationales Servier,Servier,42,0,1,active_comparator,2,bevacizumab control;capecitabine,bevacizumab experimental;trifluridine/tipiracil hydrochloride (s95005),TS,Small Molecule,BRAF;KRAS;MSI-H,0,1,0,0,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT03872947,A Study of TRK-950 in Combinations With Anti-Cancer Treatment Regimens in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,138,"Toray Industries, Inc",Toray Industries,4,1,0,multi_experimental,15,trk-950,bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;imiquimod cream;irinotecan;leucovorin;nivolumab;paclitaxel;pembrolizumab;pld;ramucirumab;trk-950,PD-1,Monoclonal Antibody,CAPRIN-1;PR,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03891953,Study of Safety and Efficacy of DKY709 Alone or in Combination With PDR001 in Patients With Advanced Solid Tumors.,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,98,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,2,dky709,dky709;pdr001,PD-1,Small Molecule,PD-L1,0,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT03921684,Trial of Nivolumab With FOLFOX After Chemoradiation in Rectal Cancer Patients,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,29,Baruch Brenner,Baruch Brenner,2,0,1,single_arm,1,FOLFOX;capecitabine;nivolumab;radiation therapy,FOLFOX;capecitabine;nivolumab;radiation therapy,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,0,0,,locally advanced · adenoca. · ECOG 0-1
NCT03947385,Study of IDE196 in Patients With Solid Tumors Harboring GNAQ/11 Mutations or PRKC Fusions,PHASE1;PHASE2,Phase 2,RECRUITING,336,IDEAYA Biosciences,IDEAYA Biosciences,11,1,0,multi_experimental,8,ide196,binimetinib;crizotinib;ide196,MEK,Small Molecule,ALK;HLA-A2;MET;MSI;MSI-H;ROS1;dMMR,0,1,0,1,0,0,0,0,1,0,1,MSI-H/dMMR,metastatic · 1st-line · measurable (RECIST)
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,0,0,0,1,0,0,1,0,1,HER2+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03983993,Niraparib and Panitumumab in Patients With Advanced or Metastatic Colorectal Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,26,Emory University,Emory University,116,0,1,single_arm,1,niraparib;panitumumab,niraparib;panitumumab,PARP,Small Molecule,BRCA1;BRCA2;HRD;MSI;PR,0,1,1,0,1,0,0,0,1,0,1,"RAS/RAF wt, MSS/pMMR",metastatic · 1st-line · squamous
NCT04008030,"A Study of Nivolumab, Nivolumab Plus Ipilimumab, or Investigator's Choice Chemotherapy for the Treatment of Participants With Deficient Mismatch Repair (dMMR)/Microsatellite Instability High (MSI-H) Metastatic Colorectal Cancer (mCRC)",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,839,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,active_comparator,3,bevacizumab;cetuximab;fluorouracil;irinotecan;leucovorin;oxaliplatin,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;dMMR,1,1,0,1,0,0,0,0,0,0,1,MSI-H/dMMR,metastatic
NCT04008797,A Study of E7386 in Combination With Other Anticancer Drug(s) in Participants With Solid Tumor,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,301,Eisai Inc.,Eisai,177,1,0,multi_experimental,9,lenvatinib,doxorubicin;e7386;lenvatinib;paclitaxel,CBP,Small Molecule,BRAF;KRAS;MSI;MSI-H;TP53,0,1,1,1,0,0,1,0,0,1,1,"RAS/RAF wt, MSI-H/dMMR, BRAFm",metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04014530,Pembrolizumab With Ataluren in Patients With Metastatic pMMR and dMMR Colorectal Carcinoma or Metastatic dMMR Endometrial Carcinoma: the ATAPEMBRO Study,PHASE1;PHASE2,Phase 2,RECRUITING,47,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),19,0,1,multi_experimental,3,ataluren + pembrolizumab,ataluren + pembrolizumab,PD-1,Monoclonal Antibody,MMR;PD-L1,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04017455,Neoadjuvant Treatment in Rectal Cancer With Radiotherapy Followed by Atezolizumab and Bevacizumab (TARZAN),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,38,The Netherlands Cancer Institute,The Netherlands Cancer Institute,72,0,1,single_arm,1,atezolizumab;bevacizumab,atezolizumab;bevacizumab,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT04046445,"Phase 1b Study to Evaluate ATP128, VSV-GP128 and BI 754091, in Patients With Stage IV Colorectal Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,96,Amal Therapeutics,Amal Therapeutics,1,1,1,multi_experimental,8,atp128,atp128;bi 754091;vsv-gp128,PD-1,Oncolytic Virus,MMR;PD-L1;PR,1,1,0,0,1,0,0,0,1,0,1,MSS/pMMR,metastatic · 1st-line · squamous · measurable (RECIST)
NCT04068610,COLUMBIA-1: Novel Oncology Therapies in Combination With Chemotherapy and Bevacizumab as First- Line Therapy in MSS-CRC,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,61,MedImmune LLC,AstraZeneca,780,1,0,multi_experimental,3,FOLFOX;bevacizumab,FOLFOX;bevacizumab;durvalumab;oleclumab,PD-L1,Monoclonal Antibody,EGFR;MET;MMR;MSI,1,1,0,0,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04083599,GEN1042 Safety Trial and Anti-tumor Activity in Participants With Malignant Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Genmab,Genmab,65,1,1,multi_experimental,2,gen1042,carboplatin;cisplatin;fluorouracil;gemcitabine;gen1042;nab-paclitaxel;paclitaxel;pembrolizumab;pemetrexed,CD40,Bispecific Antibody,PD-L1,1,1,0,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT04117087,Pooled Mutant KRAS-Targeted Long Peptide Vaccine Combined With Nivolumab and Ipilimumab for Patients With Resected Mismatch Repair Protein (MMR-p) Colorectal and Pancreatic Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,27,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,ipilimumab;kras peptide vaccine;nivolumab,ipilimumab;kras peptide vaccine;nivolumab,PD-1,Monoclonal Antibody,CD30;KRAS;PD-L1,1,1,0,0,1,0,0,0,0,0,1,MSS/pMMR,metastatic · measurable (RECIST)
NCT04140526,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,733,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,onc-392,docetaxel;onc-392;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04165772,Study of Induction PD-1 Blockade in Subjects With Locally Advanced Mismatch Repair Deficient Solid Tumors,PHASE2,Phase 2,RECRUITING,212,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,multi_experimental,3,capecitabine or 5-fu;intensity modulated radiation therapy (imrt);tsr-042 or dostarlimab,capecitabine or 5-fu;intensity modulated radiation therapy (imrt);tsr-042 or dostarlimab,PD-1,Monoclonal Antibody,MMR;MSI;MSI-H;dMMR,1,1,0,1,0,0,0,0,0,0,1,MSI-H/dMMR,metastatic
NCT04282044,Study of CRX100 as Monotherapy and in Combination With Pembrolizumab in Patients With Advanced Solid Malignancies,PHASE1,Phase 1,RECRUITING,60,BioEclipse Therapeutics,BioEclipse Therapeutics,1,1,0,multi_experimental,2,crx100 suspension for infusion;cyclophosphamide;fludarabine,crx100 suspension for infusion;cyclophosphamide;fludarabine,PD-1,,ER;HER2;PR,0,1,0,0,0,1,0,0,0,1,1,HER2−,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04291105,Phase 2 Trial of Voyager V1 in Combination With Cemiplimab in Cancer Patients,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,87,"Vyriad, Inc.",Vyriad,5,1,1,multi_experimental,3,cemiplimab;vv1,cemiplimab;vv1,,Oncolytic Virus,BRAF;MSI;PD-L1,1,1,0,1,0,0,1,0,1,1,1,"MSI-H/dMMR, BRAFm",metastatic · 1st-line · measurable (RECIST)
