nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,IDH,MGMT,EGFR,1p19q,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT02573896,Immunotherapy of Relapsed Refractory Neuroblastoma With Expanded NK Cells,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,13,New Approaches to Neuroblastoma Therapy Consortium,New Approaches to Neuroblastoma Therapy Consortium,6,0,0,single_arm,1,dinutuximab;lenalidomide;nk cells,dinutuximab;lenalidomide;nk cells,GD2,Monoclonal Antibody,GD2,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+
NCT02586857,"A Phase 1b/2, Multicenter, Open-label Study of ACP-196 in Subjects With Recurrent Glioblastoma Multiforme (GBM)",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,Acerta Pharma BV,Acerta Pharma,30,1,0,multi_experimental,2,acp-196,acp-196,KRAS,Small Molecule,KRAS,0,1,0,0,0,0,0,1,0,,adjuvant · 2nd-line+ · squamous · measurable (RECIST)
NCT02685605,Intraoperative Radiotherapy in Newly Diagnosed Glioblastoma Multiforme,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,314,Universitätsmedizin Mannheim,Universitätsmedizin Mannheim,1,0,0,active_comparator,2,radio;standard surgery;temozolomide,intraoperative radiotherapy;radio;standard surgery;temozolomide,,Small Molecule,,0,1,0,0,0,0,0,0,0,,resectable
NCT02691923,Diagnostic Performance of Fluorescein as an Intraoperative Brain Tumor Biomarker,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,David W. Roberts,David W. Roberts,1,0,0,active_comparator,2,fluorescein,fluorescein + ala,,,,0,1,0,0,0,0,0,0,0,,
NCT02704858,Safety and Efficacy Study in Recurrent or Progressive Grade III or IV IDH1 Mutated Glioma,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,49,"Neonc Technologies, Inc.",Neonc Technologies,4,1,0,multi_experimental,2,perillyl alcohol,perillyl alcohol,IDH1/2,,,0,1,1,0,0,0,0,0,1,IDHm,recurrent · squamous
NCT02852655,"A Pilot Surgical Trial To Evaluate Early Immunologic Pharmacodynamic Parameters For The PD-1 Checkpoint Inhibitor, Pembrolizumab (MK-3475), In Patients With Surgically Accessible Recurrent/Progressive Glioblastoma",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,60,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,active_comparator,2,mk-3475,mk-3475,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,1,0,0,,1st-line · squamous
NCT02886585,Pembrolizumab In Central Nervous System Metastases,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,101,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,multi_experimental,4,mri;pembrolizumab;pet/ct,mri;pembrolizumab;pet/ct;stereotactic radiosurgery,PD-1,Monoclonal Antibody,ALK;HER2;PD-L1;genomic,1,1,0,0,1,0,1,0,1,EGFR+,metastatic · 1st-line · squamous · measurable (RECIST)
NCT02896335,Palbociclib and Pembrolizumab In Central Nervous System Metastases,PHASE2,Phase 2,RECRUITING,45,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,multi_experimental,2,palbociclib,palbociclib;pembrolizumab,CDK4/6,Small Molecule,ER;HER2;PD-L1;PR,0,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT02933736,Ribociclib (LEE011) in Preoperative Glioma and Meningioma Patients,EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,48,Nader Sanai,Nader Sanai,11,0,1,single_arm,1,ribociclib,ribociclib,CDK4/6,Small Molecule,ER;GRPR;HER2;MET,0,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT02974738,"A Trial of Belzutifan (PT2977, MK-6482) Tablets In Patients With Advanced Solid Tumors (MK-6482-001)",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,"Peloton Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Merck (MSD),649,1,1,multi_experimental,4,belzutifan,belzutifan,HIF-2α,Small Molecule,HIF-2α;VHL,0,1,1,0,0,0,0,1,1,IDHm,metastatic · 2nd-line+
NCT02977780,INdividualized Screening Trial of Innovative Glioblastoma Therapy (INSIGhT),PHASE2,Phase 2,RECRUITING,460,"David Reardon, MD","David Reardon, MD",2,0,1,active_comparator,5,temozolomide,abemaciclib;cc-115;neratinib;qbs10072s;temozolomide,HER2,Small Molecule,HER2;biomarker,0,1,1,1,0,0,0,0,1,"IDHm, MGMT",squamous · measurable (RECIST)
NCT02981940,A Study of Abemaciclib in Recurrent Glioblastoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,45,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,3,abemaciclib,abemaciclib;surgery,ER,Small Molecule,ER;HER2;biomarker;genomic,0,1,1,0,0,1,0,1,1,"IDHm, 1p19q-codel",recurrent · 2nd-line+
NCT03152318,A Study of the Treatment of Recurrent Malignant Glioma With rQNestin34.5v.2,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,62,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,0,multi_experimental,3,rqnestin;stereotactic biopsy,cyclophosphamide;rqnestin;stereotactic biopsy,HSV-1,Oncolytic Virus,,1,1,1,1,0,0,0,0,1,"IDHm, MGMT",recurrent
NCT03175224,APL-101 Study of Subjects With NSCLC With c-Met EXON 14 Skip Mutations and c-Met Dysregulation Advanced Solid Tumors,PHASE2,Phase 2,RECRUITING,497,Apollomics Inc.,Apollomics,4,1,0,multi_experimental,9,apl-101 oral capsules,apl-101 oral capsules,MET,Small Molecule,ALK;BRAF;KRAS;MET;NTRK;PR;RET;ROS1;c-MET Dysregulation,0,1,0,0,1,0,1,1,1,EGFR+,metastatic · 1st-line · measurable (RECIST)
NCT03189706,Study of Chemoimmunotherapy for High-Risk Neuroblastoma,EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,48,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,single_arm,1,gm-csf;hu3f8;irinotecan;temozolomide,gm-csf;hu3f8;irinotecan;temozolomide,GD2,Monoclonal Antibody,GD2,1,1,0,0,0,0,0,0,0,,metastatic
NCT03220646,Abemaciclib (LY2835219) in Patients With Recurrent Primary Brain Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,3,abemaciclib,abemaciclib,ER,Small Molecule,ER;HER2,0,1,1,0,1,0,1,1,1,"IDHm, EGFR+",1st-line · measurable (RECIST)
NCT03223103,Safety and Immunogenicity of Personalized Genomic Vaccine and Tumor Treating Fields (TTFields) to Treat Glioblastoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,13,Adilia Hormigo,Adilia Hormigo,1,0,0,single_arm,1,device: tumor treating fields;peptides;poly-iclc,device: tumor treating fields;peptides;poly-iclc,TLR3,Peptide,,0,1,0,0,0,0,0,0,0,,
NCT03270059,Gadolinium and Ferumoxytol MRI in Diagnosing Patients With Abnormalities in the Central Nervous System,PHASE2,Phase 2,RECRUITING,150,OHSU Knight Cancer Institute,OHSU Knight Cancer Institute,48,0,0,multi_experimental,2,ferumoxytol;gadolinium;magnetic resonance imaging,ferumoxytol;gadolinium;magnetic resonance imaging,,,,0,1,0,0,0,0,0,0,0,,metastatic
NCT03363373,Naxitamab for High-Risk Neuroblastoma Patients With Primary Refractory Disease or Incomplete Response to Salvage Treatment in Bone and/or Bone Marrow,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,122,Y-mAbs Therapeutics,Y-mAbs Therapeutics,13,1,0,single_arm,1,gm-csf + naxitamab,gm-csf + naxitamab,GD2,Monoclonal Antibody,GD2,1,1,0,0,0,0,0,1,0,,2nd-line+
NCT03405792,Study Testing The Safety and Efficacy of Adjuvant Temozolomide Plus TTFields (Optune®) Plus Pembrolizumab in Patients With Newly Diagnosed Glioblastoma (2-THE-TOP),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,University of Florida,University of Florida,28,0,0,multi_experimental,2,device: optune system;pembrolizumab;temozolomide (tmz),device: optune system;pembrolizumab;temozolomide (tmz),PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,0,1,1,MGMT,metastatic · 2nd-line+
NCT03423628,A Study to Assess the Safety and Tolerability of AZD1390 Given With Radiation Therapy in Patients With Brain Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,159,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,3,azd1390;radiation therapy,azd1390;radiation therapy,ATM,Small Molecule,MGMT;TP53,0,1,1,1,0,0,1,1,1,"IDHm, MGMT",metastatic · 1st-line
NCT03435952,Pembrolizumab With Intratumoral Injection of Clostridium Novyi-NT,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,18,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,single_arm,1,clostridium novyi-nt;doxycycline;pembrolizumab,clostridium novyi-nt;doxycycline;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03449238,Pembrolizumab And Stereotactic Radiosurgery (Srs) Of Selected Brain Metastases In Breast Cancer Patients,PHASE1;PHASE2,Phase 2,RECRUITING,41,Weill Medical College of Cornell University,Weill Medical College of Cornell University,90,0,1,single_arm,1,pembrolizumab,,PD-1,Monoclonal Antibody,HER2;PD-L1,1,0,0,0,0,0,1,0,0,,metastatic · 1st-line · squamous · measurable (RECIST)
NCT03478462,Dose Escalation Study of CLR 131 in Pediatric Relapsed/Refractory Malignant Tumors Including Neuroblastoma and Sarcomas,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,30,"Cellectar Biosciences, Inc.",Cellectar Biosciences,11,1,0,single_arm,1,clr 131,clr 131,,Radiopharmaceutical,,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+
NCT03491683,INO-5401 and INO-9012 Delivered by Electroporation (EP) in Combination With Cemiplimab (REGN2810) in Newly-Diagnosed Glioblastoma (GBM),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,52,Inovio Pharmaceuticals,Inovio Pharmaceuticals,18,1,0,multi_experimental,2,cemiplimab;ino-5401;ino-9012;radiation therapy;temozolomide,cemiplimab;ino-5401;ino-9012;radiation therapy;temozolomide,hTERT,Cell Therapy,,1,1,0,0,0,0,0,0,0,,
NCT03605550,A Phase 1b Study of PTC596 in Children With Newly Diagnosed Diffuse Intrinsic Pontine Glioma and High Grade Glioma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,64,Nationwide Children's Hospital,Nationwide Children's Hospital,6,0,0,single_arm,1,ptc596;radiotherapy,ptc596;radiotherapy,EGFR,Small Molecule,EGFR,0,1,0,0,0,0,0,0,0,,
NCT03673787,A Trial of Ipatasertib in Combination With Atezolizumab,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,87,"Institute of Cancer Research, United Kingdom","Institute of Cancer Research, United Kingdom",24,0,1,multi_experimental,2,atezolizumab;ipatasertib,atezolizumab;ipatasertib,AKT1,Small Molecule,PD-L1;biomarker;biomarker analysis,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03678883,9-ING-41 in Patients With Advanced Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Actuate Therapeutics Inc.,Actuate Therapeutics,4,1,0,multi_experimental,8,9-ing-41,9-ing-41;carboplatin.;doxorubicin.;gemcitabine - 21 day cycle;gemcitabine - 28 day cycle;irinotecan;lomustine;nab paclitaxel.;paclitaxel.,GSK3B,Small Molecule,HER2,0,1,0,0,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST) · ECOG 0
NCT03687957,rhIL-7-hyFc on Increasing Lymphocyte Counts in Patients With Newly Diagnosed Non-severe Lymphopenic Gliomas Following Radiation and Temozolomide,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,42,Washington University School of Medicine,Washington University School of Medicine,178,0,0,multi_experimental,9,radiation therapy;temozolomide,radiation therapy;rhil-7-hyfc;temozolomide,IL-7,Peptide,,0,1,1,1,0,0,0,0,1,"IDHm, MGMT",
NCT03688178,DC Migration Study to Evaluate TReg Depletion In GBM Patients With and Without Varlilumab,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,43,"Annick Desjardins, MD","Annick Desjardins, MD",1,0,0,multi_experimental,3,human cmv pp65-lamp mrna-pulsed autologous dcs;temozolomide,human cmv pp65-lamp mrna-pulsed autologous dcs;td;temozolomide;unpulsed dcs;varlilumab,CMV pp65,mRNA,CMV,0,1,0,1,0,0,0,0,1,MGMT,squamous
NCT03709680,Study Of Palbociclib Combined With Chemotherapy In Pediatric Patients With Recurrent/Refractory Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,128,Pfizer,Pfizer,687,1,1,active_comparator,4,irinotecan;temozolomide,cyclophosphamide;irinotecan;palbociclib;temozolomide;topotecan,CDK4/6,Small Molecule,ER;HER2;PR,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT03721068,Study of CAR T-Cells Targeting the GD2 With IL-15+iCaspase9 for Relapsed/Refractory Neuroblastoma or Relapsed/Refractory Osteosarcoma,PHASE1,Phase 1,RECRUITING,18,UNC Lineberger Comprehensive Cancer Center,UNC Lineberger Comprehensive Cancer Center,85,0,0,single_arm,1,cyclophosphamide;fludarabine;ic9.gd2.car.il-15 t-cells,cyclophosphamide;fludarabine;ic9.gd2.car.il-15 t-cells,GD2,CAR-T,GD2,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT03749187,BGB-290 and Temozolomide in Treating Isocitrate Dehydrogenase (IDH)1/2-Mutant Grade I-IV Gliomas,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,78,"University of California, San Francisco","University of California, San Francisco",90,0,1,multi_experimental,2,parp inhibitor bgb-290;temozolomide (tmz),parp inhibitor bgb-290;temozolomide (tmz),PARP,Small Molecule,IDH1;IDH2;MET;biomarker,0,1,1,0,0,0,0,0,1,IDHm,recurrent
NCT03753685,X-396(Ensartinib) Capsules in ALK-Positive NSCLC Patients With Brain Metastases,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,27,Fudan University,Fudan University,29,0,0,single_arm,1,x-396(ensartinib) capsule,x-396(ensartinib) capsule,ALK,Small Molecule,ALK,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT03769103,Study of Osimertinib + SRS vs Osimertinib Alone for Brain Metastases in EGFR Positive Patients With NSCLC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,British Columbia Cancer Agency,British Columbia Cancer Agency,21,0,1,active_comparator,2,osimertinib;stereotactic radiotherapy,osimertinib,EGFR,Small Molecule,EGFR,0,1,0,0,1,0,1,0,1,EGFR+,metastatic · 1st-line · measurable (RECIST)
NCT03862430,A Study of NanO2™ Combined With Radiation and Temozolomide in Patients With Newly Diagnosed GBM,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,87,NuvOx LLC,NuvOx,2,1,0,placebo_comparator,2,placebo saline infusion,nano2tm,,Small Molecule,,0,1,0,0,0,0,0,0,0,,recurrent
NCT03893487,Fimepinostat in Treating Brain Tumors in Children and Young Adults,EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,30,"Sabine Mueller, MD, PhD","Sabine Mueller, MD, PhD",6,0,0,single_arm,1,fimepinostat;therapeutic conventional surgery,fimepinostat;therapeutic conventional surgery,KDM4A,Small Molecule,H3,0,1,0,0,0,0,0,0,0,,metastatic
NCT03896568,MSC-DNX-2401 in Treating Patients With Recurrent High-Grade Glioma,PHASE1,Phase 1,RECRUITING,36,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,2,oncolytic adenovirus ad5-dnx-2401,oncolytic adenovirus ad5-dnx-2401;therapeutic conventional surgery,,Oncolytic Virus,,1,1,1,0,0,0,0,0,1,IDHm,recurrent
NCT03961971,Trial of Anti-Tim-3 in Combination With Anti-PD-1 and SRS in Recurrent GBM,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,16,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,single_arm,1,mbg453,mbg453,TIM-3,Monoclonal Antibody,CD123,1,1,0,1,0,0,1,0,1,MGMT,metastatic · 1st-line · squamous
NCT03970447,A Trial to Evaluate Multiple Regimens in Newly Diagnosed and Recurrent Glioblastoma,PHASE2;PHASE3,Phase 3,RECRUITING,2250,Global Coalition for Adaptive Research,Global Coalition for Adaptive Research,1,0,1,active_comparator,17,lomustine;radiation;temozolomide,adi-peg 20;azd1390;paxalisib;regorafenib;tinostamustine;troriluzole;val-083;vt1021,VEGF/VEGFR,Small Molecule,,0,1,1,0,0,0,1,0,1,IDHm,recurrent · 1st-line · squamous
NCT03994796,Genetic Testing in Guiding Treatment for Patients With Brain Metastases,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,29,0,1,multi_experimental,4,,abemaciclib;adagrasib;entrectinib;pi3k inhibitor paxalisib,ER,Small Molecule,BRAF;ER;HER2;KRAS;NTRK;PR;ROS1;biomarker,0,1,0,0,1,0,0,0,1,EGFR+,metastatic
NCT04003649,IL13Ra2-CAR T Cells With or Without Nivolumab and Ipilimumab in Treating Patients With GBM,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,City of Hope Medical Center,City of Hope Medical Center,13,0,1,multi_experimental,3,il13ralpha2-specific hinge-optimized 4-1bb-co-stimulatory car/truncated cd19-expressing autologous tn/mem cells;quality-of-life assessment;questionnaire administration,il13ralpha2-specific hinge-optimized 4-1bb-co-stimulatory car/truncated cd19-expressing autologous tn/mem cells;ipilimumab;nivolumab;quality-of-life assessment;questionnaire administration,IL13Rα2,CAR-T,IL13Rα2;PD-L1,1,1,0,0,0,0,0,1,0,,recurrent · 2nd-line+ · measurable (RECIST) · ECOG 2
NCT04015700,"Neoantigen-based Personalized DNA Vaccine in Patients With Newly Diagnosed, Unmethylated Glioblastoma",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,9,Washington University School of Medicine,Washington University School of Medicine,178,0,0,single_arm,1,device: cellectra2000 ep device supplied by geneos therapeutics;personalized neoantigen dna vaccine supplied by geneos therapeutics;plasmid encoded il-12,device: cellectra2000 ep device supplied by geneos therapeutics;personalized neoantigen dna vaccine supplied by geneos therapeutics;plasmid encoded il-12,IL-12,mRNA,,0,1,1,1,0,0,0,0,1,"IDHm, MGMT",adjuvant
NCT04074096,Binimetinib Encorafenib Pembrolizumab +/- Stereotactic Radiosurgery in BRAFV600 Melanoma With Brain Metastasis,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,UNICANCER,UNICANCER,64,0,1,multi_experimental,2,binimetinib oral tablet;encorafenib oral capsule;pembrolizumab,binimetinib oral tablet;encorafenib oral capsule;pembrolizumab;stereotaxic radiosurgery (srs),PD-1,Monoclonal Antibody,BRAF;MET;PD-L1,1,1,0,0,0,0,1,1,0,,metastatic · 1st-line
NCT04106219,A Study of LY3295668 Erbumine in Participants With Relapsed/Refractory Neuroblastoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,71,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,4,ly3295668 erbumine,cyclophosphamide;ly3295668 erbumine;topotecan,AURKA,Small Molecule,,0,1,0,0,0,0,0,1,0,,2nd-line+
NCT04121455,Glioblastoma Treatment With Irradiation and Olaptesed Pegol (NOX-A12) in MGMT Unmethylated Patients,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,117,TME Pharma AG,TME Pharma,5,1,0,active_comparator,11,radiotherapy;temozolomide (tmz),bevacizumab;olaptesed pegol;pembrolizumab;radiotherapy,VEGF/VEGFR,Monoclonal Antibody,PD-L1,1,1,1,1,1,0,0,1,1,"IDHm, MGMT, EGFR+",metastatic · 2nd-line+ · squamous · ECOG 2
NCT04160494,D2C7-IT With Atezolizumab for Recurrent Gliomas,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,18,Darell Bigner,Darell Bigner,4,0,1,multi_experimental,2,atezolizumab (,atezolizumab (;d2c7-it (4613.2 ng/ml via convection-enhanced delivery);d2c7-it (6920 ng/ml via convection-enhanced delivery),EGFR,Monoclonal Antibody,EGFR,1,1,0,1,0,0,0,0,1,MGMT,recurrent · squamous
NCT04221503,Niraparib/TTFields in GBM,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,Abramson Cancer Center at Penn Medicine,Abramson Cancer Center at Penn Medicine,31,0,0,active_comparator,2,device: optune;niraparib;planned surgical resection,device: optune;niraparib,PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,0,1,0,0,0,0,1,MGMT,recurrent
NCT04222062,A Study Comparing GLIADEL to Stereotactic Radiosurgery in Metastatic Brain Disease,PHASE2,Phase 2,RECRUITING,100,University of Nebraska,University of Nebraska,23,0,0,multi_experimental,2,carmustine 7.,carmustine 7.,,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic · small-cell
NCT04225039,"Anti-GITR/Anti-PD1/Stereotactic Radiosurgery, in Recurrent Glioblastoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,39,University of Pennsylvania,University of Pennsylvania,19,0,0,multi_experimental,3,incagn01876;incmga00012,brain surgery;incagn01876;incmga00012;srs,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,1,1,1,0,1,1,1,"IDHm, MGMT, EGFR+",recurrent · 1st-line
NCT04250922,LAM561 With RT and TMZ for Adults With Glioblastoma,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,144,Laminar Pharmaceuticals,Laminar Pharmaceuticals,4,1,0,placebo_comparator,2,rt;tmz,lam561;rt;tmz,,Cell Therapy,,1,1,1,1,0,0,0,0,1,"IDHm, MGMT",metastatic · squamous
