nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,BAP1,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,PHASE1,Phase 1,RECRUITING,345,"Nurix Therapeutics, Inc.",Nurix Therapeutics,7,1,0,multi_experimental,12,nx-1607,nx-1607;paclitaxel,CBL-B,Small Molecule,PD-L1,0,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05215574,Study of NGM831 as Monotherapy and in Combination With Pembrolizumab or Pembrolizumab and NGM438 in Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,130,"NGM Biopharmaceuticals, Inc",NGM Biopharmaceuticals,6,1,1,multi_experimental,3,,ngm831;ngm831 and ngm438 plus pembrolizumab (keytruda);ngm831 plus pembrolizumab (keytruda),ILT3,Monoclonal Antibody,,1,1,0,0,0,0,0,,metastatic
NCT05238883,A Study of HFB200301 as a Single Agent and in Combination With Tislelizumab in Adult Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,72,HiFiBiO Therapeutics,HiFiBiO Therapeutics,3,1,0,multi_experimental,4,hfb200301,hfb200301;tislelizumab,TNFR2,Monoclonal Antibody,BRAF,1,1,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT05245500,Phase 1 Study of MRTX1719 in Solid Tumors With MTAP Deletion,PHASE1,Phase 1,RECRUITING,336,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,3,mrtx1719,mrtx1719,MTAP,Small Molecule,MTAP,0,1,0,0,0,0,0,,metastatic
NCT05425576,OT-101 in Combination With Pembrolizumab in Subjects With Malignant Pleural Mesothelioma Failing to Respond to Checkpoint Inhibition,PHASE2,Phase 2,NOT_YET_RECRUITING,63,Oncotelic Inc.,Oncotelic,2,1,0,single_arm,1,ot-101,ot-101,TGF-β2,Monoclonal Antibody,PD-L1,1,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05544929,A Study of Safety and Efficacy of KFA115 Alone and in Combo With Pembrolizumab in Patients With Select Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,126,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,3,kfa115,kfa115;pembrolizumab,PD-1,,BRAF;MSI;MSI-H;PD-L1,0,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous
NCT05568680,"SynKIR-110 for Mesothelin Expressing Ovarian Cancer, Cholangiocarcinoma or Mesothelioma",PHASE1,Phase 1,RECRUITING,42,Verismo Therapeutics,Verismo Therapeutics,2,1,0,single_arm,1,autologous t cells transduced with mesothelin kir-car;synkir-110,autologous t cells transduced with mesothelin kir-car;synkir-110,MSLN,CAR-T,mesothelin,1,1,0,0,0,1,0,,recurrent · 2nd-line+ · measurable (RECIST)
NCT05579366,"Rinatabart Sesutecan (Rina-S, PRO1184, GEN1184) for Advanced Solid Tumors (GCT1184-01/ PRO1184-001)",PHASE1;PHASE2,Phase 2,RECRUITING,884,Genmab,Genmab,65,1,1,multi_experimental,4,rina-s,bevacizumab;carboplatin;pembrolizumab;rina-s,VEGF/VEGFR,Monoclonal Antibody,HER2,1,1,0,0,0,1,0,,metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT05627960,First in Human Phase 1 Study of AG01 Anti-Progranulin/GP88 Antibody in Advanced Solid Tumor Malignancies,PHASE1,Phase 1,RECRUITING,77,A&G Pharmaceutical Inc.,A&G Pharmaceutical,1,1,0,multi_experimental,5,ag-01 compound,ag-01 compound,GRN,Monoclonal Antibody,ER;PR,1,1,0,0,0,1,0,,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05698238,Clinical Study to Evaluate Safety and Dosing of CA9hu-1 in Patients With Advanced Solid Tumours,PHASE1,Phase 1,NOT_YET_RECRUITING,50,"Mabpro, a.s.","Mabpro, a.s.",1,1,0,single_arm,1,ca9hu-1,ca9hu-1,CA9,Monoclonal Antibody,CA9;biomarker,1,1,0,0,0,1,0,,metastatic · 2nd-line+ · small-cell
NCT05765084,Integration of the PD-L1 Inhibitor Atezolizumab and WT1/DC Vaccination Into Platinum/Pemetrexed-based First-line Treatment for Epithelioid Malignant Pleural Mesothelioma,PHASE1;PHASE2,Phase 2,RECRUITING,15,"University Hospital, Antwerp","University Hospital, Antwerp",8,0,1,single_arm,1,atezolizumab;dendritic cell vaccination;platinum/pemetrexed based,atezolizumab;dendritic cell vaccination;platinum/pemetrexed based,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;PD-L1;TMB,1,1,1,0,0,0,1,PD-L1+,metastatic · ductal · measurable (RECIST)
NCT05873686,A Phase 1 Clinical Study of NXP900 in Subjects With Advanced Cancers,PHASE1,Phase 1,RECRUITING,140,"Nuvectis Pharma, Inc.",Nuvectis Pharma,4,1,0,multi_experimental,2,nxp900,nxp900,SRC,Small Molecule,BRAF;EGFR;HER2,0,1,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT05944237,HTL0039732 in Participants With Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,150,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,3,,htl0039732 capsules;htl0039732 capsules and atezolizumab infusion,PD-L1,,HER2;PD-L1;genomic,0,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",PHASE1;PHASE2,Phase 2,RECRUITING,474,A2 Biotherapeutics Inc.,A2 Biotherapeutics,3,1,0,multi_experimental,2,diagnostic test: xt cdx with hla-loh assay,a2b543;a2b694;diagnostic test: xt cdx with hla-loh assay,MSLN,CAR-T,MSLN,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06097728,MEDI5752 in Combination With Carboplatin Plus Pemetrexed in Unresectable Pleural Mesothelioma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,863,AstraZeneca,AstraZeneca,780,1,1,active_comparator,2,carboplatin;cisplatin;ipilimumab;nivolumab;pemetrexed,carboplatin;pemetrexed;volrustomig,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 1
NCT06155279,Induction Chemo+Immunotherapy in Resectable Epithelioid and Biphasic Pleural Mesothelioma (CHIMERA Study),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,41,Istituto Oncologico Veneto IRCCS,Istituto Oncologico Veneto IRCCS,5,0,1,single_arm,1,carboplatin/cisplatin - pemetrexed - pembrolizumab,carboplatin/cisplatin - pemetrexed - pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,1,0,1,PD-L1+,resectable · 1st-line · squamous · measurable (RECIST)
NCT06251310,SW-682 in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,186,"SpringWorks Therapeutics, Inc., a healthcare company of Merck KGaA, Darmstadt, Germany",Merck KGaA,166,1,1,multi_experimental,5,sw-682,combination therapy;sw-682,TEAD,Small Molecule,Hippo pathway;genomic,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06318286,Study of Pembrolizumab Plus Chemotherapy With Lenvatinib for Malignant Pleural Mesothelioma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,25,Hyogo Medical University,Hyogo Medical University,1,0,1,single_arm,1,cisplatin/carboplatin;lenvatinib;pembrolizumab;pemetrexed,cisplatin/carboplatin;lenvatinib;pembrolizumab;pemetrexed,VEGF/VEGFR,Small Molecule,PD-L1,0,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT06362369,A Study of Oral 7HP349 (Alintegimod) in Combination With Ipilimumab Followed by Nivolumab Monotherapy,PHASE1;PHASE2,Phase 2,RECRUITING,126,"7 Hills Pharma, LLC",7 Hills Pharma,2,1,0,single_arm,1,alintegimod;ipilimumab;nivolumab,alintegimod;ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,ALK;MMR;MSI;MSI-H;PD-L1;genomic,1,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT06416930,Study of Cadonilimab Combined With Chemotherapy in Recurrent / Refractory Pleural Mesothelioma,PHASE2,Phase 2,NOT_YET_RECRUITING,59,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",24,0,0,single_arm,1,cadonilimab combined with,cadonilimab combined with,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06444815,A Study of VET3-TGI in Patients With Solid Tumors,PHASE1,Phase 1,RECRUITING,60,KaliVir Immunotherapeutics,KaliVir Immunotherapeutics,1,1,0,multi_experimental,4,vet3-tgi,atezolizumab;vet3-tgi,TGF-β,Oncolytic Virus,,1,1,1,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT06452160,A Study of BGC515 Capsules in Subjects With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,103,BridGene Biosciences Inc.,BridGene Biosciences,1,1,0,multi_experimental,2,bgc515,bgc515,,,,0,1,0,0,0,0,0,,metastatic
NCT06477419,A Study of Sacituzumab Govitecan in People With Mesothelioma,PHASE2,Phase 2,RECRUITING,33,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,sacituzumab govitecan-hziy,sacituzumab govitecan-hziy,TROP2,ADC,PD-L1,1,1,0,0,0,0,0,,metastatic · squamous · measurable (RECIST) · ECOG 0
NCT06535607,Study of Volrustomig as Monotherapy or in Combination With Anti- Cancer Agents in Participants With Advanced/Metastatic Solid Tumors,PHASE2,Phase 2,RECRUITING,257,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,8,volrustomig,carboplatin;cisplatin;fluorouracil;paclitaxel;volrustomig,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT06566079,Study of ISM6331 in Participants With Advanced/Metastatic Mesothelioma or Other Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,160,InSilico Medicine Hong Kong Limited,InSilico Medicine Hong Kong,4,1,0,multi_experimental,2,ism6331,ism6331,TEAD,Small Molecule,,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06652529,Phase 1 Dose Escalation and Expansion to Evaluate AROG4-01 in Patients With Advanced Solid Tumors,PHASE1,Phase 1,NOT_YET_RECRUITING,35,Aromics Therapeutics,Aromics Therapeutics,1,1,0,single_arm,1,arog4-01,arog4-01,G-quadruplexes,Small Molecule,,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT06710756,Lead-212 PSV359 Therapy for Patients With Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,112,Perspective Therapeutics,Perspective Therapeutics,4,1,0,multi_experimental,2,[203pb]pb-psv359;[212pb]pb-psv359,[203pb]pb-psv359;[212pb]pb-psv359,FAP,Radiopharmaceutical,FAP,0,1,0,0,0,0,0,,metastatic · ECOG 0-1
NCT06726564,A Study of MT027 in Patients with Pleural Malignant Tumors,PHASE1,Phase 1,RECRUITING,18,"Suzhou Maximum Bio-tech Co., Ltd.",Suzhou Maximum Bio-tech,3,1,0,single_arm,1,mt027 cells suspension,mt027 cells suspension,,CAR-T,,1,1,0,0,0,0,0,,metastatic
NCT06756035,CT-95 in Advanced Cancers Associated With Mesothelin Expression,PHASE1,Phase 1,RECRUITING,70,Context Therapeutics Inc.,Context Therapeutics,5,1,0,single_arm,1,ct-95,ct-95,,Bispecific Antibody,,1,1,0,0,0,0,0,,advanced · measurable (RECIST) · ECOG 0
NCT07131345,Study of Iparomlimab and Tuvonralimab Plus Chemotherapy in Malignant Mesothelioma,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,55,"National Cancer Center, China","National Cancer Center, China",2,0,0,single_arm,1,iparomlimab and tuvonralimab (dual pd-1/ctla-4 blockade) +,iparomlimab and tuvonralimab (dual pd-1/ctla-4 blockade) +,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,1,1,1,PD-L1+,recurrent · 1st-line
NCT07192900,Fast TILs to Treat Metastatic Cancer Patients With Pleural Disease,PHASE1,Phase 1,RECRUITING,10,"David Bartlett, MD","David Bartlett, MD",1,0,0,single_arm,1,interleukin-2;locally manufactured adoptive cellular therapy (act) product,interleukin-2;locally manufactured adoptive cellular therapy (act) product,IL-2R,Recombinant Protein,CD25,0,1,0,0,0,1,0,,2nd-line+
NCT07277413,A Study of IDE892 as Monotherapy and Combination in MTAP-deleted Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,260,IDEAYA Biosciences,IDEAYA Biosciences,11,1,0,multi_experimental,4,ide892,ide397;ide892,PRMT5,Small Molecule,MTAP-DELETED;PD-L1;biomarker,0,1,1,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT07282873,Study of TYK-01054 Capsules in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,219,"TYK Medicines, Inc",TYK Medicines,14,1,0,single_arm,1,tyk-01054,tyk-01054,TEAD,Small Molecule,,0,1,0,0,1,0,0,,metastatic · 1st-line · squamous · measurable (RECIST) · ECOG 0-1
NCT07532902,A Study of BMS-986504 With Standard-of-Care Therapy for People With Solid Tumor Cancer,PHASE1,Phase 1,RECRUITING,60,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,3,bms-986504,bms-986504;fluorouracil;gemcitabine;ipilimumab;leucovorin;nivolumab;oxaliplatin;platinum,MTAP,Small Molecule,HER2;MTAP-DEFICIENT;PD-L1,0,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 1
NCT07563738,A 2-part Phase 1/2 Open-label Trial on ODM-212,PHASE1;PHASE2,Phase 2,RECRUITING,229,"Orion Corporation, Orion Pharma","Orion Corporation, Orion Pharma",11,1,0,multi_experimental,3,odm-212,gemcitabine and nab-paclitaxel;ipilimumab and nivolumab;odm-212;sotorasib,TEAD,Small Molecule,Hippo pathway;KRAS;PD-L1;PR;YAP,0,1,1,0,1,0,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT07602946,SELECTmeso A Trial for Patients With Relapsed Malignant Mesothelioma SELECTmeso1 A Trial of BMS-986504 in Patients With MTAP-deficient Relapsed Mesothelioma,PHASE2,Phase 2,NOT_YET_RECRUITING,30,University of Southampton,University of Southampton,6,0,1,single_arm,1,bms-986504,bms-986504,MTAP,Small Molecule,MTAP-DEFICIENT;biomarker,0,1,0,0,1,1,0,,metastatic · 1st-line · squamous · measurable (RECIST)
NCT07705334,"A Study of SHY-ONC6, a Novel Proteasome Inhibitor, in Adults With Advanced or Metastatic Solid Tumors",PHASE1,Phase 1,RECRUITING,30,SHY Therapeutics,SHY Therapeutics,1,1,0,single_arm,1,shy-onc6,shy-onc6,,Cell Therapy,,1,1,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
