nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,AR,BRCA/HRR,PSMA,MSI-H/dMMR,first_line,later_line,biomarker_selected
NCT02194842,Phase III Radium 223 mCRPC-PEACE III,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,446,European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer - EORTC,38,0,1,active_comparator,2,enzalutamide,enzalutamide;ra223,,Radiopharmaceutical,,0,1,0,0,1,0,0,0,1
NCT02257736,An Efficacy and Safety Study of Apalutamide (JNJ-56021927) in Combination With Abiraterone Acetate and Prednisone Versus Abiraterone Acetate and Prednisone in Participants With Chemotherapy-naive Metastatic Castration-resistant Prostate Cancer (mCRPC),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,982,"Aragon Pharmaceuticals, Inc.",Aragon Pharmaceuticals,10,1,0,placebo_comparator,2,abiraterone acetate,abiraterone acetate;apalutamide,AR,Small Molecule,PSA,0,1,0,0,0,0,0,1,0
NCT02312557,Pembrolizumab in Treating Patients With Metastatic Castration Resistant Prostate Cancer Previously Treated With Enzalutamide,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,58,OHSU Knight Cancer Institute,OHSU Knight Cancer Institute,48,0,1,single_arm,1,enzalutamide;laboratory biomarker analysis;pembrolizumab,enzalutamide;laboratory biomarker analysis;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0
NCT02319837,Safety and Efficacy Study of Enzalutamide Plus Leuprolide in Patients With Nonmetastatic Prostate Cancer (EMBARK),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1068,Pfizer,Pfizer,687,1,1,active_comparator,3,placebo (no longer applicable in open label study period),enzalutamide;leuprolide open label,AR,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT02446405,Enzalutamide in First Line Androgen Deprivation Therapy for Metastatic Prostate Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1125,University of Sydney,University of Sydney,3,0,1,active_comparator,2,lhrha or surgical castration;nsaa,enzalutamide;lhrha or surgical castration,AR,Small Molecule,,0,1,0,0,0,0,1,0,0
NCT02452008,Study of TGF-β Receptor Inhibitor Galunisertib (LY2157299) and Enzalutamide in Metastatic Castration-resistant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,60,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,enzalutamide,enzalutamide;ly2157299,TGFBR1,Small Molecule,,0,1,0,0,0,0,0,1,0
NCT02489318,"A Study of Apalutamide (JNJ-56021927, ARN-509) Plus Androgen Deprivation Therapy (ADT) Versus ADT in Participants With mHSPC",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1052,"Aragon Pharmaceuticals, Inc.",Aragon Pharmaceuticals,10,1,0,multi_experimental,2,androgen deprivation therapy (adt),androgen deprivation therapy (adt);apalutamide,AR,Small Molecule,PSA,0,1,0,0,0,0,0,0,0
NCT02531516,An Efficacy and Safety Study of JNJ-56021927 (Apalutamide) in High-risk Prostate Cancer Subjects Receiving Primary Radiation Therapy: ATLAS,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1503,"Aragon Pharmaceuticals, Inc.",Aragon Pharmaceuticals,10,1,0,active_comparator,2,74-80 grays (units of radiation);apalutamide placebo;bicalutamide;gnrh (agonist),74-80 grays (units of radiation);apalutamide;bicalutamide placebo;gnrh (agonist),AR,Small Molecule,PSA,0,1,0,0,0,0,0,0,0
NCT02592317,A Study to Evaluate the Effect of Multiple Doses of JNJ-56021927 on the Pharmacokinetics of Multiple Cytochrome P450 and Transporter Substrates in Participants With Castration-Resistant Prostate Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,23,"Aragon Pharmaceuticals, Inc.",Aragon Pharmaceuticals,10,1,0,single_arm,1,drug cocktail;jnj 56021927;pioglitazone;rosuvastatin,drug cocktail;jnj 56021927;pioglitazone;rosuvastatin,,,,0,1,0,0,0,0,0,0,0
NCT02768363,Randomized Controlled Trial of CAN-2409 Immunotherapy During Active Surveillance for Prostate Cancer (ULYSSES),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,187,"Candel Therapeutics, Inc.",Candel Therapeutics,12,1,0,active_comparator,2,aglatimagene besadenovec;valacyclovir,,TK,Oncolytic Virus,,1,1,0,0,0,0,0,0,0
NCT02861573,Study of Pembrolizumab (MK-3475) Combination Therapies in Metastatic Castration-Resistant Prostate Cancer (MK-3475-365/KEYNOTE-365),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1200,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,12,,abiraterone acetate;belzutifan;carboplatin;docetaxel;enzalutamide;etoposide;lenvatinib;olaparib;pembrolizumab;pembrolizumab/vibostolimab coformulation,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,1,0
NCT02881242,Trametinib in Treating Patients With Progressive Metastatic Hormone-Resistant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,14,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,single_arm,1,laboratory biomarker analysis;quality-of-life assessment;trametinib,laboratory biomarker analysis;quality-of-life assessment;trametinib,MEK,Small Molecule,BRAF,0,1,0,0,0,0,0,0,0
NCT02905318,Palbociclib in Patients With Metastatic Castration-Resistant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,19,Canadian Cancer Trials Group,Canadian Cancer Trials Group,48,0,1,single_arm,1,palbociclib,palbociclib,CDK4/6,Small Molecule,ER;HER2;PR,0,1,0,0,0,0,0,0,0
NCT02923180,Neoadjuvant Enoblituzumab (MGA271) in Men With Localized Intermediate and High-Risk Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,33,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,0,single_arm,1,enoblituzumab,enoblituzumab,PD-1,Bispecific Antibody,PD-L1,1,1,0,0,0,0,0,0,0
NCT02960022,A Study for Subjects With Prostate Cancer Who Previously Participated in an Enzalutamide Clinical Study,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,900,"Astellas Pharma Global Development, Inc.",Astellas,171,1,1,multi_experimental,3,enzalutamide,abiraterone acetate;enzalutamide;leuprolide acetate,AR,Small Molecule,MET,0,1,0,0,0,0,0,0,0
NCT02972060,ODM-201 vs Androgen Deprivation Therapy in Hormone naïve Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,61,European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer - EORTC,38,0,1,active_comparator,2,adt,odm-201,,Small Molecule,,0,1,1,0,0,0,0,0,1
NCT03012321,"Abiraterone/Prednisone, Olaparib, or Abiraterone/Prednisone + Olaparib in Patients With Metastatic Castration-Resistant Prostate Cancer With DNA Repair Defects",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,70,Northwestern University,Northwestern University,72,0,1,active_comparator,4,abiraterone acetate;olaparib,,PARP,Small Molecule,AR;BRCA1;BRCA2;biomarker,0,1,0,0,0,0,0,0,0
NCT03061539,Nivolumab and Ipilimumab Treatment in Prostate Cancer With an Immunogenic Signature,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,380,"University College, London","University College, London",51,0,1,multi_experimental,2,nivolumab & ipilimumab,nivolumab & ipilimumab,CTLA-4,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,0,0,0,0,0
NCT03067051,Clinical Study to Assess the Safety and Efficacy of the SpectraCure P18 System,PHASE1;PHASE2,Phase 2,RECRUITING,66,SpectraCure AB,SpectraCure,2,1,0,single_arm,1,device: spectracure p18 system;verteporfin,device: spectracure p18 system;verteporfin,YAP1,Small Molecule,,0,1,0,0,1,0,0,0,1
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,0,0,0,0,0
NCT03230734,Sequencing of Radium-223 and Docetaxel in Symptomatic Bone-only Metastatic Castration-resistant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,70,Istituto Romagnolo per lo Studio dei Tumori Dino Amadori IRST S.r.l. IRCCS,Istituto Romagnolo per lo Studio dei Tumori Dino Amadori IRST S.r.l. IRCCS,4,0,1,multi_experimental,2,docetaxel;radium-223,docetaxel;radium-223,,Radiopharmaceutical,,0,1,0,0,0,0,0,0,0
NCT03246347,"A Trial of Androgen Deprivation, Docetaxel, and Enzalutamide for Metastatic Prostate Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,Wake Forest University Health Sciences,Wake Forest University Health Sciences,31,0,1,single_arm,1,adt+docetaxel+enzalutamide,adt+docetaxel+enzalutamide,Androgen Receptor,Small Molecule,AR-V7;CTC,0,1,0,0,0,0,0,0,0
NCT03333616,Nivolumab Combined With Ipilimumab for Patients With Advanced Rare Genitourinary Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,100,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,single_arm,1,ipilimumab;nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,1,0
NCT03348670,Pharmacogenomics IND Commercial SNP Clinical Study - Abiraterone and Single Nucleotide Polymorphisms,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,600,"Han Xu, M.D., Ph.D., FAPCR, Sponsor-Investigator, IRB Chair","Han Xu, M.D., Ph.D., FAPCR, Sponsor-Investigator, IRB Chair",5,1,0,multi_experimental,2,,abiraterone - study;abiraterone - usual,CYP17A1,Small Molecule,,0,1,0,0,0,0,0,0,0
NCT03392181,PET/MRI for the Staging of Newly Diagnosed Prostate Cancer,EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,48,Northwestern University,Northwestern University,72,0,0,single_arm,1,18f-dcfpyl,18f-dcfpyl,PSMA,Radiopharmaceutical,PSMA,0,1,0,0,0,0,0,0,0
NCT03431350,A Study of Niraparib Combination Therapies for the Treatment of Metastatic Castration-Resistant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,136,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,multi_experimental,4,niraparib,abiraterone acetate;cetrelimab;niraparib,PARP,Small Molecule,BRCA1;BRCA2;HRD,0,1,0,0,0,0,0,0,0
NCT03436485,Safety and Pharmacokinetics of ODM-208 in Patients With Metastatic Castration-resistant Prostate Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,204,"Orion Corporation, Orion Pharma","Orion Corporation, Orion Pharma",11,1,0,multi_experimental,3,odm-208,midazolam;odm-208,CYP11A1,Small Molecule,"AR;AR mutations (L702H, T878A, H875Y)",0,1,1,0,0,0,0,0,1
NCT03444844,Biodistribution and Dosimetry of Ga-68 P16-093 in Prostate Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,60,"Five Eleven Pharma, Inc.",Five Eleven Pharma,4,1,0,multi_experimental,2,ga-68 p16-093 pet/ct scan,ga-68 p16-093 pet/ct scan,,,,0,1,0,0,0,0,0,0,0
NCT03460977,"A Study of Mevrometostat for Treatment of Relapsed/Refractory SCLC, Castration Resistant Prostate Cancer, and Follicular Lymphoma",PHASE1,Phase 1,RECRUITING,453,Pfizer,Pfizer,687,1,1,multi_experimental,10,mervometostat (pf-06821497),enzalutamide;itraconazole;mervometostat (pf-06821497),EZH2,Small Molecule,H3K27ME3;IDH1,0,1,0,0,0,0,0,0,0
NCT03471650,Study of PSMA-targeted 18F-DCFPyL PET/CT for the Detection of Clinically Significant Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,150,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,0,single_arm,1,18f-dcfpyl injection,18f-dcfpyl injection,PSMA,Radiopharmaceutical,PSMA,0,1,0,0,0,0,0,0,0
NCT03495427,PSMA-PET Imaging for Detecting Early Metastatic Prostate Cancer in Men w/ High Decipher Test Scores,PHASE2;PHASE3,Phase 3,RECRUITING,60,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,0,single_arm,1,diagnostic test: psma pet;f-dcfpyl injection,diagnostic test: psma pet;f-dcfpyl injection,PSMA,Radiopharmaceutical,PSMA;genomic,0,1,0,0,0,0,0,0,0
NCT03523442,A Study of Androgen Receptor (AR) Antagonist Apalutamide in Chinese Participants With Metastatic Castration-Resistant Prostate Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,19,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,single_arm,1,apalutamide,apalutamide,AR,Small Molecule,PSA,0,1,0,0,0,0,0,0,0
NCT03525262,Prostate Oncologic Therapy While Ensuring Neurovascular Conservation (POTEN-C),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,124,University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,48,0,0,multi_experimental,2,30gy (gray) planning target volume (ptv),30gy (gray) planning target volume (ptv),,,,0,1,0,0,0,0,0,0,0
NCT03525288,PSMA-PET Guided Radiotherapy,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,130,Centre hospitalier de l'Université de Montréal (CHUM),Centre hospitalier de l'Université de Montréal (CHUM),14,0,0,active_comparator,2,standard-care simulation,psma -pet/ct simulation,PSMA,Radiopharmaceutical,PSMA,0,1,0,0,0,0,0,0,0
NCT03541850,Stereotactic Body Radiation Therapy in Treating Patients With Localized Prostate Cancer That Have Undergone Surgery,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,92,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,0,single_arm,1,antiandrogen therapy;quality-of-life assessment;stereotactic body radiation therapy,antiandrogen therapy;quality-of-life assessment;stereotactic body radiation therapy,AR,Small Molecule,PSA,0,1,0,0,0,0,0,0,0
NCT03543189,Combination of Nivolumab Immunotherapy With Radiation Therapy and Androgen Deprivation Therapy,PHASE1;PHASE2,Phase 2,COMPLETED,44,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,androgen deprivation therapy;brachytherapy;external beam radiation therapy;nivolumab,androgen deprivation therapy;brachytherapy;external beam radiation therapy;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,0,0,0,0,1,0,0
NCT03574571,A Study to Test Radium-223 With Docetaxel in Patients With Prostate Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,732,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,2,docetaxel,docetaxel;radium-223,,Radiopharmaceutical,,0,1,0,0,0,0,0,0,0
NCT03582475,Pembrolizumab With Combination Chemotherapy in Treating Participants With Locally Advanced or Metastatic Small Cell/Neuroendocrine Cancers of Urothelium or Prostate,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,15,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,single_arm,1,carboplatin;cisplatin;docetaxel;etoposide;pembrolizumab,carboplatin;cisplatin;docetaxel;etoposide;pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,0,0,0,1,0
NCT03600350,pTVG-HP and Nivolumab in Patients With Non-Metastatic PSA-Recurrent Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,19,"University of Wisconsin, Madison","University of Wisconsin, Madison",61,0,1,single_arm,1,gm-csf;nivolumab;ptvg-hp,gm-csf;nivolumab;ptvg-hp,PD-1,Monoclonal Antibody,CD30,1,1,0,0,1,0,0,1,1
NCT03637543,Nivolumab in Patients With High-Risk Biochemically Recurrent Prostate Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,29,Beth Israel Deaconess Medical Center,Beth Israel Deaconess Medical Center,28,0,1,multi_experimental,2,nivolumab,nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,0,0
NCT03673787,A Trial of Ipatasertib in Combination With Atezolizumab,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,87,"Institute of Cancer Research, United Kingdom","Institute of Cancer Research, United Kingdom",24,0,1,multi_experimental,2,atezolizumab;ipatasertib,atezolizumab;ipatasertib,AKT1,Small Molecule,PD-L1;biomarker;biomarker analysis,0,1,0,0,0,0,0,1,0
NCT03682289,Ceralasertib (AZD6738) Alone and in Combination With Olaparib or Durvalumab in Patients With Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,83,Rahul Aggarwal,Rahul Aggarwal,7,0,1,multi_experimental,3,ceralasertib,ceralasertib;durvalumab;olaparib,ATM,Small Molecule,BRCA1;BRCA2;HRR;MET;MMR;MSI,0,1,0,0,0,0,0,1,0
NCT03689699,Nivolumab and BMS-986253 for Hormone-Sensitive Prostate Cancer (MAGIC-8),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,59,Mark Stein,Mark Stein,3,0,1,multi_experimental,2,degarelix;nivolumab,bms-986253;degarelix;nivolumab,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,0,0
NCT03706365,A Study of Abiraterone Acetate Plus Prednisone With or Without Abemaciclib (LY2835219) in Participants With Prostate Cancer,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,393,Eli Lilly and Company,Eli Lilly,535,1,1,placebo_comparator,2,abiraterone acetate,abemaciclib;abiraterone acetate,ER,Small Molecule,ER;HER2,0,1,0,0,0,0,0,0,0
NCT03725761,Sacituzumab Govitecan in Patients With Metastatic Castration-Resistant Prostate Cancer Progressing on Second Generation AR-Directed Therapy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,31,"University of Wisconsin, Madison","University of Wisconsin, Madison",61,0,1,single_arm,1,sacituzumab govitecan,sacituzumab govitecan,TROP2,ADC,AR;TROP2,1,1,0,0,0,0,0,0,0
NCT03732820,Study on Olaparib Plus Abiraterone as First-line Therapy in Men With Metastatic Castration-resistant Prostate Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,895,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,abiraterone acetate,abiraterone acetate;olaparib,PARP,Small Molecule,BRCA1;BRCA2;biomarker,0,1,0,1,0,0,1,0,1
NCT03748641,A Study of Niraparib in Combination With Abiraterone Acetate and Prednisone Versus Abiraterone Acetate and Prednisone for Treatment of Participants With Metastatic Prostate Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,765,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,multi_experimental,3,,abiraterone acetate;new formulation of niraparib and abiraterone acetate (aa);niraparib,PARP,Small Molecule,AR;BRCA1;BRCA2;HRD,0,1,0,1,0,0,0,0,1
NCT03753243,Neoadjuvant Pembrolizumab Plus Androgen Axis Blockade Prior to Prostatectomy for High Risk Localized Prostate Cancer,PHASE2,Phase 2,RECRUITING,32,"Mark Garzotto, MD","Mark Garzotto, MD",1,0,1,single_arm,1,enzalutamide;pembrolizumab,enzalutamide;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0
NCT03762759,Fluciclovine F18 or Ga68-PSMA PET/CT to Enhance Prostate Cancer Outcomes,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,140,Emory University,Emory University,116,0,0,active_comparator,2,computed tomography;gallium ga68-labeled psma-11;positron emission tomography,computed tomography;fluciclovine f18;positron emission tomography,,Radiopharmaceutical,,0,1,0,0,1,0,0,0,1
NCT03767244,"A Study of Apalutamide in Participants With High-Risk, Localized or Locally Advanced Prostate Cancer Who Are Candidates for Radical Prostatectomy",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,2517,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,multi_experimental,2,androgen deprivation therapy (adt),androgen deprivation therapy (adt);apalutamide,AR,Small Molecule,PSA,0,1,1,0,0,0,0,0,1
NCT03795207,Prostate Cancer With OligometaSTatic Relapse: Combining Stereotactic Ablative Radiotherapy and Durvalumab (MEDI4736),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,96,Institut Cancerologie de l'Ouest,Institut Cancerologie de l'Ouest,9,0,1,active_comparator,2,sbrt,sbrt + durvalumab,PD-L1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,1,1
NCT03809000,A Study of Salvage Radiotherapy With or Without Enzalutamide in Recurrent Prostate Cancer Following Surgery,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,188,"RTOG Foundation, Inc.","RTOG Foundation, Inc.",6,0,1,active_comparator,2,bicalutamide;gnrh analog;radiation therapy,enzalutamide;gnrh analog;radiation therapy,AR,Small Molecule,,0,1,1,0,0,0,0,0,1
NCT03821246,Neoadjuvant Atezolizumab-Based Combination Therapy in Men With Localized Prostate Cancer Prior to Radical Prostatectomy,PHASE2,Phase 2,RECRUITING,68,David Oh,David Oh,2,0,1,multi_experimental,3,atezolizumab,atezolizumab;etrumadenant;tocilizumab,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;PD-L1;TMB,1,1,0,0,0,0,0,0,0
NCT03845166,A Study of XL092 as Single-Agent and Combination Therapy in Subjects With Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,325,Exelixis,Exelixis,52,1,0,multi_experimental,5,xl092,atezolizumab;avelumab;xl092,PD-L1,Small Molecule,BRAF;ER;KRAS;MMR;MSI;MSI-H;PD-L1;PR;biomarker;dMMR,0,1,0,0,0,1,0,1,1
NCT03860272,Fc-Engineered Anti-CTLA-4 Monoclonal Antibody in Advanced Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,499,Agenus Inc.,Agenus,27,1,0,multi_experimental,3,botensilimab,balstilimab;botensilimab,PD-1,Monoclonal Antibody,PD-L1;genomic,1,1,0,0,0,0,0,0,0
NCT03899987,Aspirin and Rintatolimod With or Without Interferon-alpha 2b in Treating Patients With Prostate Cancer Before Surgery,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,12,Roswell Park Cancer Institute,Roswell Park Cancer Institute,73,0,0,active_comparator,3,radical prostatectomy,ec aspirin;radical prostatectomy;recombinant interferon alfa-2b;rintatolimod,,Recombinant Protein,,0,1,0,0,0,0,0,0,0
