nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRCA/HRD,platinum_status,PD-L1,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT04140526,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,733,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,onc-392,docetaxel;onc-392;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04152499,"Phase I-II, FIH, TROP2 ADC, Advanced Unresectable/Metastatic Solid Tumors, Refractory to Standard Therapies (KL264-01)",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1410,Klus Pharma Inc.,Klus Pharma,4,1,0,multi_experimental,11,skb264,skb264,TROP2,ADC,ER;HER2;PR;TROP2,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04169997,A Study of IMP4297 as Maintenance Treatment Following First-line Chemotherapy in Patients With Advanced Ovarian Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,404,"Impact Therapeutics, Inc.",Impact Therapeutics,15,1,0,placebo_comparator,2,placebos,imp4927,PARP,Small Molecule,BRCA1;BRCA2;HRR;MET,0,1,1,0,0,1,0,1,BRCA/HRD+,metastatic · 1st-line · ductal
NCT04180371,Study BT5528-100 in Patients With Advanced Solid Tumors Associated With EphA2 Expression,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,288,BicycleTx Limited,BicycleTx,8,1,0,multi_experimental,3,bt5528,bt5528;nivolumab,EphA2,Monoclonal Antibody,EPHA2;biomarker,1,1,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT04196257,BP1001-A in Patients With Advanced or Recurrent Solid Tumors,PHASE1,Phase 1,RECRUITING,50,"Bio-Path Holdings, Inc.",Bio-Path,6,1,0,multi_experimental,2,,bp1001-a (liposomal grb2 antisense oligonucleotide);bp1001-a (liposomal grb2 antisense oligonucleotide) with paclitaxel,GRB2,,,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04205227,ENB003 Plus Pembrolizumab Phase 1b/2a in Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,137,"ENB Therapeutics, Inc",ENB Therapeutics,1,1,1,multi_experimental,7,enb003;pembrolizumab,enb003;pembrolizumab,PD-1,Monoclonal Antibody,MET;MSI;MSI-H;PD-L1;biomarker;biomarker analysis;dMMR,1,1,0,1,1,1,1,1,"platinum-status, PD-L1+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04274426,"Mirvetuximab Soravtansine (IMGN853), in Folate Receptor Alpha (FRα) High Recurrent Ovarian Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,136,AGO Research GmbH,AGO Research,7,1,0,active_comparator,2,carboplatin;gemcitabine;paclitaxel;pegylated liposomal doxorubicin (pld),carboplatin;mirvetuximab soravtansine,,Small Molecule,CDX;FOLR1,0,1,1,0,0,0,1,1,BRCA/HRD+,metastatic · 2nd-line+ · measurable (RECIST)
NCT04282044,Study of CRX100 as Monotherapy and in Combination With Pembrolizumab in Patients With Advanced Solid Malignancies,PHASE1,Phase 1,RECRUITING,60,BioEclipse Therapeutics,BioEclipse Therapeutics,1,1,0,multi_experimental,2,crx100 suspension for infusion;cyclophosphamide;fludarabine,crx100 suspension for infusion;cyclophosphamide;fludarabine,PD-1,,ER;HER2;PR,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT04383119,Trial in Patients With Metastatic or Locally Advanced Leiomyosarcoma,PHASE2,Phase 2,RECRUITING,100,Italian Sarcoma Group,Italian Sarcoma Group,7,0,0,active_comparator,3,gemcitabine;no intervention: observational cohort,trabectedin,EZH2,Small Molecule,DDX4,0,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04389632,A Study of Sigvotatug Vedotin in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,1006,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,5,sigvotatug vedotin,carboplatin;cisplatin;pembrolizumab;sigvotatug vedotin,PD-1,Monoclonal Antibody,HER2;PD-L1,1,1,0,0,0,1,1,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04421963,Roll Over StudY for Patients Who Have Completed a Previous Oncology Study With Olaparib,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,185,AstraZeneca,AstraZeneca,780,1,1,single_arm,1,olaparib,olaparib,PARP,Small Molecule,BRCA1;BRCA2;MET,0,1,0,0,0,0,0,0,,
NCT04429542,Study of Safety and Tolerability of BCA101 Monotherapy and in Combination Therapy in Patients With EGFR-driven Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,292,Bicara Therapeutics,Bicara,3,1,1,multi_experimental,2,bca101,bca101;pembrolizumab,EGFR,Bispecific Antibody,EGFR;PD-L1;biomarker;biomarker analysis,1,1,0,0,1,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT04469764,Abemaciclib for the Treatment of Recurrent Ovarian or Endometrial Cancer,PHASE2,Phase 2,RECRUITING,32,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,single_arm,1,abemaciclib;anastrozole;letrozole,abemaciclib;anastrozole;letrozole,ER,Small Molecule,ER;HER2;genomic,0,1,0,0,0,0,0,0,,metastatic · squamous
