nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRAF,NRAS,PD-L1,first_line,later_line,biomarker_selected
NCT02644369,Study of the Effects of Pembrolizumab in Patients With Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,100,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,1,0,0,1
NCT02721459,XL888 + Vemurafenib + Cobimetinib for Unresectable BRAF Mutated Stage III/IV Melanoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,26,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,cobimetinib;vemurafenib;xl888,cobimetinib;vemurafenib;xl888,BRAF,Small Molecule,BRAF,0,1,1,0,0,1,1,1
NCT02858921,"Neoadjuvant Dabrafenib, Trametinib and/or Pembrolizumab in BRAF Mutant Resectable Stage III Melanoma",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,60,Melanoma Institute Australia,Melanoma Institute Australia,10,0,1,multi_experimental,3,pembrolizumab,dabrafenib;pembrolizumab;trametinib,BRAF,Small Molecule,BRAF;PD-L1,0,1,1,0,1,0,1,1
NCT02869217,Study of TBI-1301 (NY-ESO-1 Specific TCR Gene Transduced Autologous T Lymphocytes) in Patients With Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,22,"University Health Network, Toronto","University Health Network, Toronto",91,0,0,multi_experimental,2,cyclophosphamide;fludarabine;tbi-1301,cyclophosphamide;fludarabine;tbi-1301,NY-ESO-1,Cell Therapy,HLA-A*02:01;HLA-A*02:06;MET;NY-ESO-1,1,1,0,0,0,0,0,0
NCT02938299,Neoadjuvant L19IL2/L19TNF- Pivotal Study,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,214,Philogen S.p.A.,Philogen S.p.A.,45,1,0,active_comparator,2,surgery,l19il2 + l19tnf;surgery,FN1,Bispecific Antibody,BRAF;CD31,1,1,0,0,0,0,0,0
NCT03122522,A Study to Evaluate Adaptive Dosing of Ipilimumab and Nivolumab Combination Immunotherapy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,70,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,ipilimumab;nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,0,1
NCT03132922,MAGE-A4ᶜ¹º³²T for Multi-Tumor,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,71,"USWM CT, LLC",USWM CT,8,1,0,multi_experimental,2,,autologous genetically modified mage-a4c1032t cells combined with low dose radiation;autologous genetically modified mage-a4ᶜ¹º³²t cells,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0
NCT03149029,Abbreviated MAPK Targeted Therapy Plus Pembrolizumab in Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,16,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,multi_experimental,2,pembrolizumab;trametinib,dabrafenib;pembrolizumab;trametinib,PD-1,Monoclonal Antibody,BRAF;PD-L1,1,1,1,0,1,0,1,1
NCT03161431,SX-682 Treatment in Subjects With Metastatic Melanoma Concurrently Treated With Pembrolizumab,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,77,"Syntrix Biosystems, Inc.",Syntrix Biosystems,2,1,1,multi_experimental,2,sx-682,pembrolizumab;sx-682,CXCR1/2,Small Molecule,PD-L1;RAS;biomarker,0,1,0,0,1,0,0,1
NCT03212404,Phase 1 Study of CK-301 (Cosibelimab) as a Single Agent in Subjects With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,272,"Checkpoint Therapeutics, Inc.",Checkpoint Therapeutics,3,1,0,single_arm,1,ck-301 (cosibelimab),ck-301 (cosibelimab),PD-L1,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;dMMR,1,1,0,0,1,0,0,1
NCT03228667,QUILT-3.055: A Study of Combination Immunotherapies in Patients Who Have Previously Received Treatment With Immune Checkpoint Inhibitors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"ImmunityBio, Inc.",ImmunityBio,63,1,0,multi_experimental,6,,n-803 + atezolizumab;n-803 + atezolizumab + pd-l1 t-hank;n-803 + avelumab;n-803 + avelumab + pd-l1 t-hank;n-803 + docetaxel + nivolumab;n-803 + docetaxel + pembrolizumab;n-803 + durvalumab;n-803 + durvalumab + pd-l1 t-hank;n-803 + nivolumab;n-803 + nivolumab + pd-l1 t-hank;n-803 + pembrolizumab;n-803 + pembrolizumab + pd-l1 t-hank,PD-1,Monoclonal Antibody,ALK;BRAF;HER2;KRAS;MET;NTRK;PD-L1;PR;RET;ROS1,1,1,0,0,1,0,0,1
NCT03241186,Ipilimumab and Nivolumab as Adjuvant Treatment of Mucosal Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,36,"Robert R. McWilliams, MD","Robert R. McWilliams, MD",1,0,1,single_arm,1,ipilimumab;nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,ALK;PD-L1,1,1,0,0,0,0,0,0
NCT03311308,A Trial of Pembrolizumab and Metformin Versus Pembrolizumab Alone in Advanced Melanoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,23,Yana Najjar,Yana Najjar,6,0,1,active_comparator,2,pembrolizumab injection [keytruda],metformin;pembrolizumab injection [keytruda],PD-1,Monoclonal Antibody,ATM;BARD1;BRAF;BRCA1/2;CHEK2;FANCC;HRD;PALB2;PR;RA;SLX4;XRCC2,1,1,0,0,0,1,1,0
NCT03340129,Anti-PD 1 Brain Collaboration + Radiotherapy Extension (ABC-X Study),PHASE2,Phase 2,RECRUITING,218,Melanoma Institute Australia,Melanoma Institute Australia,10,0,1,active_comparator,2,ipilimumab;nivolumab;salvage therapy;stereotactic radiotherapy,,CTLA-4,Monoclonal Antibody,BRAF;MET;PD-L1,1,1,1,0,1,0,0,1
NCT03420508,Treating Patients With Melanoma and ALK Alterations With Ensartinib,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,18,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,single_arm,1,diagnostic test: alkati by customized nanostring assay;ensartinib,diagnostic test: alkati by customized nanostring assay;ensartinib,ALK,Small Molecule,ALK;BRAF,0,1,1,0,0,0,0,1
NCT03454035,Ulixertinib/Palbociclib in Patients With Advanced Pancreatic and Other Solid Tumors,PHASE1,Phase 1,RECRUITING,45,UNC Lineberger Comprehensive Cancer Center,UNC Lineberger Comprehensive Cancer Center,85,0,1,single_arm,1,palbociclib;ulixertinib,palbociclib;ulixertinib,MAPK,Small Molecule,BRAF;KRAS;NF1;PD-L1;RAS;molecular profiling,0,1,1,1,1,0,1,1
NCT03470922,A Study of Relatlimab Plus Nivolumab Versus Nivolumab Alone in Participants With Advanced Melanoma,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,714,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,multi_experimental,2,nivolumab,nivolumab;relatlimab,LAG-3,Monoclonal Antibody,biomarker,1,1,0,0,0,0,0,0
NCT03474497,"UCDCC#272: IL-2, Radiotherapy, and Pembrolizumab in Patients Refractory to Checkpoint Blockade",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,18,"Megan Daly, MD","Megan Daly, MD",5,0,1,single_arm,1,il-2;pembrolizumab;radiotherapy,il-2;pembrolizumab;radiotherapy,CD19,Cell Therapy,CD19;PD-L1,1,1,0,0,1,0,1,1
NCT03553836,Safety and Efficacy of Pembrolizumab Compared to Placebo in Resected High-risk Stage II Melanoma (MK-3475-716/KEYNOTE-716),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,976,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,placebo_comparator,2,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,1,0,1,1
NCT03567889,Efficacy of Daromun Neoadjuvant Intratumoral Treatment in Clinical Stage IIIB/C/D Melanoma Patients,PHASE3,Phase 3,RECRUITING,186,Philogen S.p.A.,Philogen S.p.A.,45,1,0,active_comparator,2,adjuvant therapy;surgery,adjuvant therapy;daromun;surgery,FN1,Monoclonal Antibody,BRAF,1,1,0,0,0,0,0,0
NCT03589339,NBTXR3 Activated by Radiotherapy for Patients With Advanced Cancers Treated With An Anti-PD-1 Therapy,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,145,Nanobiotix,Nanobiotix,6,1,0,single_arm,1,nbtxr3;nivolumab;pembrolizumab;sabr,nbtxr3;nivolumab;pembrolizumab;sabr,PD-1,Radiopharmaceutical,,0,1,0,0,0,0,0,0
NCT03611868,A Study of APG-115 in as a Monotherapy or Combination With Pembrolizumab in Patients With Metastatic Melanomas or Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,230,Ascentage Pharma Group Inc.,Ascentage Pharma,45,1,1,single_arm,1,phase 1b: apg-115+pembrolizumab,phase 1b: apg-115+pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,0,0,1,0,1,1
NCT03719131,Rituximab and Hyaluronidase Human in Patients With Advanced Melanoma Undergoing Nivolumab and Ipilimumab Therapy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,15,Emory University,Emory University,116,0,1,active_comparator,2,ipilimumab;nivolumab,ipilimumab;nivolumab;rituximab and hyaluronidase human,PD-1,Monoclonal Antibody,BRAF;CD30,1,1,0,0,0,0,0,0
NCT03767348,Study of RP1 Monotherapy and RP1 in Combination With Nivolumab (IGNYTE),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,340,"Replimune, Inc.",Replimune,10,1,1,multi_experimental,10,rp1,nivolumab;rp1,PD-1,Oncolytic Virus,BRAF;MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,1,0,0,1
NCT03769155,VX15/2503 With or Without Ipilimumab and/or Nivolumab in Patients With Resectable Stage IIIB-D Melanoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,41,Emory University,Emory University,116,0,1,active_comparator,5,surgery,ipilimumab;nivolumab;surgery;vx15/2503,CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0
NCT03872947,A Study of TRK-950 in Combinations With Anti-Cancer Treatment Regimens in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,138,"Toray Industries, Inc",Toray Industries,4,1,0,multi_experimental,15,trk-950,bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;imiquimod cream;irinotecan;leucovorin;nivolumab;paclitaxel;pembrolizumab;pld;ramucirumab;trk-950,PD-1,Monoclonal Antibody,CAPRIN-1;PR,1,1,0,0,0,0,1,0
NCT03891953,Study of Safety and Efficacy of DKY709 Alone or in Combination With PDR001 in Patients With Advanced Solid Tumors.,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,98,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,2,dky709,dky709;pdr001,PD-1,Small Molecule,PD-L1,0,1,0,0,1,0,1,1
NCT03897881,An Efficacy Study of Adjuvant Treatment With the Personalized Cancer Vaccine mRNA-4157 and Pembrolizumab in Participants With High-Risk Melanoma (KEYNOTE-942),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,267,"ModernaTX, Inc.",Moderna,9,1,1,active_comparator,2,pembrolizumab,mrna-4157;pembrolizumab,PD-1,Vaccine,,1,1,0,0,0,0,0,0
NCT03915678,Atezolizumab Combined With BDB001 AnD Immunogenic Radiotherapy in Patients With Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,247,Institut Bergonié,Institut Bergonié,27,0,1,multi_experimental,6,,association atezolizumab + bdb001 + rt;association atezolizumab + bdb001+ rt,PD-L1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0
NCT03947385,Study of IDE196 in Patients With Solid Tumors Harboring GNAQ/11 Mutations or PRKC Fusions,PHASE1;PHASE2,Phase 2,RECRUITING,336,IDEAYA Biosciences,IDEAYA Biosciences,11,1,0,multi_experimental,8,ide196,binimetinib;crizotinib;ide196,MEK,Small Molecule,ALK;HLA-A2;MET;MSI;MSI-H;ROS1;dMMR,0,1,0,0,0,1,0,0
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,0,0,1,1,0,1
NCT04020809,Neoadjuvant Atezolizumab in Cutaneous Melanoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,The Methodist Hospital Research Institute,The Methodist Hospital Research Institute,27,0,1,single_arm,1,atezolizumab,atezolizumab,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB,1,1,0,0,1,1,0,1
NCT04044859,ADP-A2M4CD8 as Monotherapy or in Combination With Either Nivolumab or Pembrolizumab in HLA-A2+ Subjects With MAGE-A4 Positive Tumors (SURPASS),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,"USWM CT, LLC",USWM CT,8,1,0,single_arm,1,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0
NCT04074096,Binimetinib Encorafenib Pembrolizumab +/- Stereotactic Radiosurgery in BRAFV600 Melanoma With Brain Metastasis,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,UNICANCER,UNICANCER,64,0,1,multi_experimental,2,binimetinib oral tablet;encorafenib oral capsule;pembrolizumab,binimetinib oral tablet;encorafenib oral capsule;pembrolizumab;stereotaxic radiosurgery (srs),PD-1,Monoclonal Antibody,BRAF;MET;PD-L1,1,1,1,0,0,1,1,1
NCT04074967,Study of ARRY-614 Plus Either Nivolumab or Nivolumab+Ipilimumab,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,70,Dan Zandberg,Dan Zandberg,6,0,0,multi_experimental,5,,phase ib arry-614 + nivolumab;phase ib arry-614 + nivolumab+ipilimumab;phase ii arry-614 + nivolumab;phase ii arry-614 + nivolumab+ipilimumab (melanoma);phase ii arry-614 + nivolumab+ipilimumab (rcc),CTLA-4,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0
NCT04079166,SCIB1 and iSCIB1+ in Melanoma Patients Receiving Nivolumab With Ipilimumab or SCIB1 With Pembrolizumab (The SCOPE Study),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,173,Scancell Ltd,Scancell,4,1,0,single_arm,1,scib1 or iscib1+ dna vaccine,scib1 or iscib1+ dna vaccine,PD-1,Monoclonal Antibody,BRAF;PD-L1,1,1,1,0,1,0,0,1
NCT04083599,GEN1042 Safety Trial and Anti-tumor Activity in Participants With Malignant Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Genmab,Genmab,65,1,1,multi_experimental,2,gen1042,carboplatin;cisplatin;fluorouracil;gemcitabine;gen1042;nab-paclitaxel;paclitaxel;pembrolizumab;pemetrexed,CD40,Bispecific Antibody,PD-L1,1,1,0,0,0,0,1,0
NCT04091750,Nivolumab/Ipilimumab Plus Cabozantinib in Patients With Unresectable Advanced Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,14,Georgetown University,Georgetown University,55,0,0,single_arm,1,cabozantinib;ipilimumab;nivolumab,cabozantinib;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,0,0,1,0,0,1
NCT04099251,Effectiveness Study of Nivolumab Compared to Placebo in Prevention of Recurrent Melanoma After Complete Resection of Stage IIB/C Melanoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,790,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,placebo_comparator,2,,nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,0,0,0,1,0,1,1
NCT04126876,A Randomized Controlled Phase II Trial With Intradermal IMO-2125 in Pathological Tumor Stage (p) T3-4 cN0M0 Melanoma,PHASE2,Phase 2,RECRUITING,214,A.J.M. van den Eertwegh,A.J.M. van den Eertwegh,1,0,0,placebo_comparator,2,saline (0.9% sodium chloride),tilsotolimod,TLR9,Cell Therapy,,1,1,0,0,0,0,0,0
NCT04139902,Neoadjuvant PD-1 Inhibitor Dostarlimab (TSR-042) vs. Combination of Tim-3 Inhibitor Cobolimab (TSR-022) and PD-1 Inhibitor Dostarlimab (TSR-042) in Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,48,Diwakar Davar,Diwakar Davar,8,0,0,multi_experimental,2,,dostarlimab (tsr-042) (singly);dostarlimab (tsr-042) and tsr-022 (combination),PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,1,0,0,1
NCT04140500,Dose Escalation Study of a PD1-LAG3 Bispecific Antibody in Patients With Advanced and/or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,170,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,2,ro7247669,ro7247669,PD-1,Bispecific Antibody,ALK;BRAF;NTRK;PD-L1;ROS1,1,1,1,0,1,0,1,1
NCT04140526,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,733,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,onc-392,docetaxel;onc-392;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0
NCT04198766,Study of INBRX-106 and INBRX-106 in Combination With Pembrolizumab (Keytruda®) in Subjects With Locally Advanced or Metastatic Solid Tumors (Hexavalent OX40 Agonist),PHASE1;PHASE2,Phase 2,RECRUITING,340,"Inhibrx Biosciences, Inc",Inhibrx Biosciences,4,1,1,active_comparator,15,inbrx-106 - hexavalent ox40 agonist antibody,carboplatin auc-5;carboplatin auc-6;cisplatin;gemcitabine (;inbrx-106 - hexavalent ox40 agonist antibody;nab-paclitaxel;paclitaxel;pembrolizumab;pemetrexed,OX40,Monoclonal Antibody,ALK;EGFR;MSI;MSI-H;PD-L1;TMB,1,1,0,0,1,1,1,1
NCT04205227,ENB003 Plus Pembrolizumab Phase 1b/2a in Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,137,"ENB Therapeutics, Inc",ENB Therapeutics,1,1,1,multi_experimental,7,enb003;pembrolizumab,enb003;pembrolizumab,PD-1,Monoclonal Antibody,MET;MSI;MSI-H;PD-L1;biomarker;biomarker analysis;dMMR,1,1,0,0,1,1,1,1
NCT04282044,Study of CRX100 as Monotherapy and in Combination With Pembrolizumab in Patients With Advanced Solid Malignancies,PHASE1,Phase 1,RECRUITING,60,BioEclipse Therapeutics,BioEclipse Therapeutics,1,1,0,multi_experimental,2,crx100 suspension for infusion;cyclophosphamide;fludarabine,crx100 suspension for infusion;cyclophosphamide;fludarabine,PD-1,,ER;HER2;PR,0,1,0,0,0,0,1,0
NCT04291105,Phase 2 Trial of Voyager V1 in Combination With Cemiplimab in Cancer Patients,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,87,"Vyriad, Inc.",Vyriad,5,1,1,multi_experimental,3,cemiplimab;vv1,cemiplimab;vv1,,Oncolytic Virus,BRAF;MSI;PD-L1,1,1,1,0,1,1,1,1
NCT04328844,A Study to Assess a PI3Kδ Inhibitor (IOA-244) in Patients With Metastatic Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,210,iOnctura,iOnctura,4,1,0,multi_experimental,7,ioa-244,avelumab injection;cisplatin;ioa-244;pemetrexed;ruxolitinib,PD-L1,Small Molecule,ALK;BRAF;EGFR;PD-L1;PR;ROS1,0,1,1,0,1,1,1,1
NCT04356729,A Phase II Trial of PD-L1 Therapy Combined With Anti-VEGF Therapy in Unresectable or Metastatic Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,"F. Stephen Hodi, MD","F. Stephen Hodi, MD",2,0,1,single_arm,1,atezolizumab;bevacizumab,atezolizumab;bevacizumab,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;PD-L1;TMB;biomarker,1,1,0,0,1,0,0,1
NCT04370587,A Clinical Study of Intratumoral MVR-T3011 (T3011) Given as a Single Agent and in Combination With Intravenous Pembrolizumab in Participants With Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,30,ImmVira Pharma Co. Ltd,ImmVira Pharma,8,1,0,multi_experimental,5,,t3011;t3011 + pembrolizumab,PD-1,Oncolytic Virus,ALK;EGFR,1,1,0,0,1,0,0,1
NCT04417621,Study of Efficacy and Safety of LXH254 Combinations in Patients With Previously Treated Unresectable or Metastatic Melanoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,134,Novartis Pharmaceuticals,Novartis,836,1,1,multi_experimental,3,,ltt462;lxh254;ribociclib;trametinib,BRAF,Small Molecule,BRAF;BRAFV600;NRAS;PD-L1,0,1,1,1,1,0,1,1
NCT04464759,A Study of Nivolumab and Hydroxychloroquine or Nivolumab/Ipilimumab and Hydroxychloroquine in Advanced Melanoma,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,41,"Ravi Amaravadi, MD","Ravi Amaravadi, MD",1,0,1,multi_experimental,3,hydroxychloroquine;nivolumab,hydroxychloroquine;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,0,0,1,1,1,1
NCT04478279,A Phase 1-2 Study of ST101 in Patients With Advanced Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,125,Sapience Therapeutics,Sapience Therapeutics,3,1,0,multi_experimental,7,st101,radiation;st101;temozolomide,CEBPB,Peptide,BRAF,0,1,1,0,0,1,1,1
NCT04562129,IL2 With Ipilimumab Followed by Nivolumab in Stage 3 or 4 Melanoma Patients,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,18,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,0,single_arm,1,interleukin-2;ipilimumab;nivolumab,interleukin-2;ipilimumab;nivolumab,IL-2R,Recombinant Protein,BRAF;CD25;MET,0,1,1,0,0,0,0,1
