nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HR/ER,HER2,PD-L1,BRCA/HRD,PIK3CA,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT01996267,"Neoadjuvant Chemotherapy in HER2 Positive Breast Cancer, TRAIN-2",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,437,The Netherlands Cancer Institute,The Netherlands Cancer Institute,72,0,1,active_comparator,2,fec-t+pertuzumab;ptc+pertuzumab,,HER2,Monoclonal Antibody,HER2,1,1,0,1,0,0,0,0,0,1,HER2+,metastatic
NCT02032823,Olaparib as Adjuvant Treatment in Patients With Germline BRCA Mutated High Risk HER2 Negative Primary Breast Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1837,AstraZeneca,AstraZeneca,780,1,1,placebo_comparator,2,,olaparib,PARP,Small Molecule,BRCA1;BRCA2;ER;HER2,0,0,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic · adenoca. · ECOG 0-1
NCT02057133,A Study of LY2835219 (Abemaciclib) in Combination With Therapies for Breast Cancer That Has Spread,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,198,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,13,ly2835219,anastrozole;endocrine therapy;everolimus;exemestane;fulvestrant;letrozole;ly2835219;ly3023414;pertuzumab;tamoxifen;trastuzumab,CDK4/6,Small Molecule,ER;HER2;PR,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic · measurable (RECIST)
NCT02107703,A Study of Abemaciclib (LY2835219) Combined With Fulvestrant in Women With Hormone Receptor Positive HER2 Negative Breast Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,669,Eli Lilly and Company,Eli Lilly,535,1,1,placebo_comparator,2,fulvestrant,abemaciclib;fulvestrant,CDK4/6,Small Molecule,ER;HER2;HR,0,1,1,1,0,0,0,1,1,1,"HR+, HER2+",metastatic · 1st-line · measurable (RECIST)
NCT02246621,A Study of Nonsteroidal Aromatase Inhibitors Plus Abemaciclib (LY2835219) in Postmenopausal Women With Breast Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,493,Eli Lilly and Company,Eli Lilly,535,1,1,placebo_comparator,2,anastrozole;letrozole,abemaciclib;anastrozole;letrozole,CDK4/6,Small Molecule,ER;HER2,0,1,1,1,0,0,0,0,0,1,"HR+, HER2−",metastatic · measurable (RECIST)
NCT02299999,SAFIR02_Breast - Efficacy of Genome Analysis as a Therapeutic Decision Tool for Patients With Metastatic Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1460,UNICANCER,UNICANCER,64,0,1,active_comparator,4,anthracyclines;bevacizumab;cyclophosphamide;dna intercalators;eribulin;methotrexate;mitomycin c;platinum based chemotherapies;taxanes;vinca alkaloids,azd2014;azd4547;azd5363;azd8931;bicalutamide;medi4736;olaparib;selumetinib;vandetanib,CDK4/6,Small Molecule,ER;HER2;PD-L1;PR;genomic,0,1,1,1,1,0,0,0,1,1,"HR+, HER2+, PD-L1+",metastatic · 2nd-line+ · measurable (RECIST)
NCT02326974,T-DM1+Pertuzumab in Pre-OP Early-Stage HER2+ BRCA,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,164,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,single_arm,1,excision of tumor/mastectomy;pertuzumab;t-dm1,excision of tumor/mastectomy;pertuzumab;t-dm1,HER2,ADC,ER;HER2;PR,1,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic
NCT02393794,Cisplatin Plus Romidepsin & Nivolumab in Locally Recurrent or Metastatic Triple Negative Breast Cancer (TNBC),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,51,Priyanka Sharma,Priyanka Sharma,2,0,1,multi_experimental,4,cisplatin;romidepsin,cisplatin;nivolumab;romidepsin,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,0,0,1,1,0,0,1,1,"PD-L1+, BRCA/HRD+",metastatic · 2nd-line+ · squamous
NCT02414269,Malignant Pleural Disease Treated With Autologous T Cells Genetically Engineered to Target the Cancer-Cell Surface Antigen Mesothelin,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,113,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,multi_experimental,3,,cyclophosphamide;icasp9m28z t cell infusions;pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,1,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · small-cell
NCT02476786,Endocrine Treatment Alone for Elderly Patients With Estrogen Receptor Positive Operable Breast Cancer and Low Recurrence Score,PHASE2,Phase 2,RECRUITING,50,Washington University School of Medicine,Washington University School of Medicine,178,0,0,single_arm,1,anastrozole;archived tissue collection;behavioral: fact-b;exemestane;fulvestrant;goserelin;tamoxifen,anastrozole;archived tissue collection;behavioral: fact-b;exemestane;fulvestrant;goserelin;tamoxifen,GnRH,Peptide,ER;HER2,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",measurable (RECIST)
NCT02498613,A Phase 2 Study of Cediranib in Combination With Olaparib in Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,122,National Cancer Institute (NCI),National Cancer Institute (NCI),18,0,1,single_arm,1,18f-fluoromisonidazole;cediranib maleate;laboratory biomarker analysis;olaparib;positron emission tomography,18f-fluoromisonidazole;cediranib maleate;laboratory biomarker analysis;olaparib;positron emission tomography,PARP,Small Molecule,ALK;BRCA1;BRCA2;ER;HER2;MET;PD-L1;PR,0,1,1,1,1,0,0,0,0,1,"HR+, HER2+, PD-L1+",metastatic · adenoca. · measurable (RECIST)
NCT02513394,PALbociclib CoLlaborative Adjuvant Study,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,5796,"Alliance Foundation Trials, LLC.","Alliance Foundation Trials, LLC.",15,0,1,multi_experimental,2,palbociclib;standard adjuvant endocrine therapy,palbociclib;standard adjuvant endocrine therapy,CDK4/6,Small Molecule,ER;HER2;PR;genomic,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",adjuvant
NCT02562118,Neoadjuvant Lenvatinib Combined With Letrozole in Hormone Receptor Positive Breast Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"National University Hospital, Singapore","National University Hospital, Singapore",22,0,0,single_arm,1,lenvatinib + letrozole,lenvatinib + letrozole,VEGF/VEGFR,Small Molecule,ER,0,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,534,Hoffmann-La Roche,Roche/Genentech,922,1,1,multi_experimental,9,entrectinib,entrectinib,ROS1,Small Molecule,ALK;NTRK;ROS1,0,1,0,0,0,0,0,0,0,0,,metastatic
NCT02605486,Palbociclib in Combination With Bicalutamide for the Treatment of AR(+) Metastatic Breast Cancer (MBC),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,bicalutamide;palbociclib,bicalutamide;palbociclib,CDK4/6,Small Molecule,AR;ER;HER2;MET;PR,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic
NCT02623972,A Phase 2 Study of Eribulin Followed by AC as Preoperative Therapy for HER2-negative Inflammatory Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,22,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,0,multi_experimental,2,adriamycin;cyclophosphamide;eribulin,adriamycin;cyclophosphamide;eribulin,Tubulin,Small Molecule,HER2,0,1,0,1,0,0,0,0,0,1,HER2+,metastatic · squamous
NCT02624973,PErsonalized TREatment of High-risk MAmmary Cancer - the PETREMAC Trial,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,200,Haukeland University Hospital,Haukeland University Hospital,3,0,1,multi_experimental,8,breast conserving surgery or mastectomy + snb/axillary dissection;postoperative radiotherapy breast/chest wall + regional lymph nodes,adjuvant epirubicin+ cyclophosphamide;adjuvant letrozole (postmenopausal women);adjuvant palbociclib (if palbociclib given neoadjuvant);adjuvant tamoxifen + goserelin (premenopausal women);adjuvant trastuzumab;breast conserving surgery or mastectomy + snb/axillary dissection;neoadjuvant cyclophosphamide (after 10 weeks of olaparib alone);neoadjuvant docetaxel;neoadjuvant docetaxel + cyclophosphamide;neoadjuvant docetaxel + cyclophosphamide + trastuzumab + pertuzumab;neoadjuvant docetaxel + trastuzumab + pertuzumab;neoadjuvant endocrine therapy + palbociclib (if lack of response to endocrine therapy alone);neoadjuvant letrozole (postmenopausal women);neoadjuvant olaparib;neoadjuvant tamoxifen + goserelin (premenopausal women);postoperative radiotherapy breast/chest wall + regional lymph nodes,HER2,Monoclonal Antibody,ALK;ER;HER2;genomic,1,1,1,1,0,0,0,1,0,1,"HR+, HER2+",metastatic · 1st-line · measurable (RECIST)
NCT02644369,Study of the Effects of Pembrolizumab in Patients With Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,100,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,single_arm,1,pembrolizumab,pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,1,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT02653755,The PRECISION Trial (Profiling Early Breast Cancer for Radiotherapy Omission): A Phase II Study of Breast-Conserving Surgery Without Adjuvant Radiotherapy for Favorable-Risk Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,671,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,0,active_comparator,2,device: prosigna,,,,ER;HER2;PR,0,0,1,1,0,0,0,0,0,1,"HR+, HER2+",adjuvant
NCT02712723,"Letrozole Plus Ribociclib or Placebo as Neo-adjuvant Therapy in ER-positive, HER2-negative Early Breast Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,121,Qamar Khan,Qamar Khan,2,0,1,active_comparator,3,letrozole,letrozole;ribociclib,CDK4/6,Small Molecule,ER;GRPR;HER2,0,1,1,1,0,0,0,0,0,1,"HR+, HER2−",metastatic · ECOG 0
NCT02734004,A Phase I/II Study of MEDI4736 in Combination With Olaparib in Patients With Advanced Solid Tumors.,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,264,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,3,medi4736;olaparib,bevacizumab;medi4736;olaparib,PARP,Small Molecule,BRCA1;BRCA2;ER;HER2;PD-L1;PR,0,1,1,1,1,0,0,0,1,1,"HR+, HER2−, PD-L1+",metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT02734290,Standard of Care Chemotherapy Plus Pembrolizumab for Breast Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,29,Providence Health & Services,Providence Health & Services,30,0,1,multi_experimental,2,pembrolizumab,capecitabine;paclitaxel;pembrolizumab,PD-1,Monoclonal Antibody,ER;HER2;PD-L1;PR,1,1,1,1,1,0,0,0,1,1,"HR−, HER2−, PD-L1+",metastatic · 2nd-line+ · measurable (RECIST)
NCT02738866,Palbociclib With Fulvestrant for Metastatic Breast Cancer After Treatment With Palbociclib and an Aromatase Inhibitor,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,60,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,single_arm,1,fulvestrant;palbociclib,fulvestrant;palbociclib,CDK4/6,Small Molecule,ER;HER2;PR,0,1,0,1,0,0,0,0,0,1,HER2+,metastatic · squamous · measurable (RECIST)
NCT02747004,A Study of Abemaciclib (LY2835219) Plus Tamoxifen or Abemaciclib Alone in Women With Metastatic Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,234,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,abemaciclib,abemaciclib;prophylactic loperamide;tamoxifen,CDK4/6,Small Molecule,ER;HER2,0,1,1,1,0,0,0,0,1,1,"HR+, HER2+",metastatic · 2nd-line+ · measurable (RECIST)
NCT02750358,Feasibility Study of Adjuvant Enzalutamide for the Treatment of Early Stage AR (+) Triple Negative Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,50,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,behavioral: assessment;enzalutamide,behavioral: assessment;enzalutamide,AR,Small Molecule,AR;ER;HER2;PR,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic
NCT02763566,A Study of Abemaciclib (LY2835219) in Participants With Breast Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,463,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,4,,abemaciclib;anastrozole;fulvestrant;letrozole,CDK4/6,Small Molecule,ER;HER2;HR,0,1,1,1,0,0,0,1,1,1,"HR+, HER2+",metastatic · 1st-line · measurable (RECIST)
NCT02764541,Palbociclib and Endocrine Therapy for LObular Breast Cancer Preoperative Study (PELOPS),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,195,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,multi_experimental,4,endocrine therapy,endocrine therapy;letrozole;palbociclib;tamoxifen,CDK4/6,Small Molecule,ER;HER2;PR,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic · ductal
NCT02779751,A Study of Abemaciclib (LY2835219) in Participants With Non-Small Cell Lung Cancer or Breast Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,100,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,4,abemaciclib;pembrolizumab,abemaciclib;anastrozole;pembrolizumab,ER,Small Molecule,ER;HER2;KRAS;PD-L1,0,1,1,1,1,0,0,0,0,1,"HR+, HER2+, PD-L1+",metastatic · squamous · measurable (RECIST)
NCT02802423,"Phase I/II, Evaluate the Safety and Efficacy of BLEX 404 With Docetaxel in Patients With Advanced/Metastatic Triple Negative Breast Cancer.",PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,44,"BioLite, Inc.",BioLite,3,1,0,single_arm,1,blex 404 oral liquid,blex 404 oral liquid,,,ER;HER2;PR,0,1,1,1,0,0,0,0,0,1,"HR+, HER2−",metastatic
NCT02826434,Adjuvant PVX-410 Vaccine and Durvalumab in Stage II/III Triple Negative Breast Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,22,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,single_arm,1,durvalumab;hiltonol;pvx-410,durvalumab;hiltonol;pvx-410,PD-L1,Vaccine,ER;HER2;PD-L1;PR,1,1,1,1,1,0,0,0,0,1,"HR+, HER2−, PD-L1+",metastatic · ductal
NCT02876107,Carboplatin and Paclitaxel With or Without Panitumumab in Treating Patients With Invasive Triple Negative Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,42,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,2,carboplatin;laboratory biomarker analysis;paclitaxel,carboplatin;laboratory biomarker analysis;paclitaxel;panitumumab,EGFR,Monoclonal Antibody,ER;HER2;RAS,1,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic
NCT02918084,CONcurrent vs SEqueNTial Adjuvant Treatments in Early Breast Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1000,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy","IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",1,0,0,multi_experimental,2,anastrozole or letrozole or exemestane,anastrozole or letrozole or exemestane,CYP19A1,Small Molecule,ER;PR,0,1,1,0,0,0,0,0,0,1,HR+,metastatic · squamous
NCT02926690,Safety Study of MELK Inhibitor to Treat Patients With Advanced Breast Cancer and Triple Negative Breast Cancer,PHASE1,Phase 1,RECRUITING,70,"OncoTherapy Science, Inc.",OncoTherapy Science,4,1,0,single_arm,1,ots167po,ots167po,MELK,Small Molecule,ER;HER2;PR,0,1,1,1,0,0,0,1,1,1,"HR+, HER2−",metastatic · 1st-line · measurable (RECIST)
NCT02942355,Trial of Anastrozole and Palbociclib in Metastatic HER2-Negative Breast Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,Wake Forest University Health Sciences,Wake Forest University Health Sciences,31,0,1,multi_experimental,2,anastrozole;palbociclib,anastrozole;palbociclib,CDK4/6,Small Molecule,ER;HER2;PR,0,1,1,1,0,0,0,1,0,1,"HR+, HER2+",metastatic · 1st-line · measurable (RECIST)
NCT02947685,"Randomized, Open Label, Clinical Study of the Targeted Therapy, Palbociclib, to Treat Metastatic Breast Cancer",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,518,"Alliance Foundation Trials, LLC.","Alliance Foundation Trials, LLC.",15,0,1,active_comparator,2,anastrozole;exemestane;fulvestrant;letrozole;pertuzumab,anastrozole;exemestane;fulvestrant;letrozole;palbociclib;pertuzumab;trastuzumab,CDK4/6,Small Molecule,ER;HER2;PR,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic
NCT02955940,An Open-Label Study to Enable Continued Treatment Access for Subjects Previously Enrolled in Studies of Ruxolitinib,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,10,Incyte Corporation,Incyte,162,1,0,multi_experimental,3,,capecitabine;regorafenib;ruxolitinib,JAK1,Small Molecule,JAK2,0,1,0,0,0,0,0,0,0,0,,
NCT02957968,Neoadjuvant Pembrolizumab + Decitabine Followed by Std Neoadj Chemo for Locally Advanced HER2- Breast Ca,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,46,Virginia Commonwealth University,Virginia Commonwealth University,13,0,1,multi_experimental,3,cyclophosphamide;decitabine;doxorubicin;paclitaxel;pembrolizumab,carboplatin;cyclophosphamide;decitabine;doxorubicin;paclitaxel;pembrolizumab,PD-1,Monoclonal Antibody,ER;HER2;PD-L1,1,1,1,1,1,0,0,0,0,1,"HR+, HER2−, PD-L1+",metastatic · adenoca.
NCT03006172,"To Evaluate the Safety, Tolerability, and Pharmacokinetics of Inavolisib Single Agent in Participants With Solid Tumors and in Combination With Endocrine and Targeted Therapies in Participants With Breast Cancer",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,200,"Genentech, Inc.",Roche/Genentech,922,1,1,multi_experimental,9,inavolisib,fulvestrant;inavolisib;letrozole;metformin;palbociclib;pertuzumab;trastuzumab,PI3K,Small Molecule,8P;HER2,0,1,1,1,0,0,1,0,0,1,"HR+, HER2+, PIK3CAm",metastatic · measurable (RECIST)
NCT03090165,Ribociclib and Bicalutamide in AR+ TNBC,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,37,Kari Wisinski,Kari Wisinski,2,0,1,single_arm,1,bicalutamide;ribociclib,bicalutamide;ribociclib,CDK4/6,Small Molecule,AR;ER;GRPR;HER2;PD-L1;PR,0,1,0,1,1,0,0,0,0,1,"HER2+, PD-L1+",metastatic · squamous · measurable (RECIST)
NCT03125928,"Clinical Trial of Atezolizumab With Paclitaxel, Trastuzumab, and Pertuzumab in Patients With Metastatic HER-2 Positive Breast Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,16,Fox Chase Cancer Center,Fox Chase Cancer Center,34,0,1,single_arm,1,atezolizumab;paclitaxel;pertuzumab;trastuzumab,atezolizumab;paclitaxel;pertuzumab;trastuzumab,PD-L1,Monoclonal Antibody,CMMRD;ER;HER2;MSI-H;PR;TMB,1,1,1,1,0,0,0,0,1,1,"HR+, HER2+",metastatic · 2nd-line+ · measurable (RECIST)
NCT03147287,Palbociclib After CDK and Endocrine Therapy (PACE),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,220,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,active_comparator,3,fulvestrant,avelumab;fulvestrant;palbociclib,CDK4/6,Small Molecule,ER;HER2;PR,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic · squamous
NCT03150576,Platinum and Polyadenosine 5'Diphosphoribose Polymerisation Inhibitor for Neoadjuvant Treatment of Triple Negative Breast Cancer and/or Germline BRCA Positive Breast Cancer,PHASE2;PHASE3,Phase 3,RECRUITING,780,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,7,0,1,active_comparator,3,paclitaxel and carboplatin,olaparib;paclitaxel and carboplatin,PARP,Small Molecule,BRCA1;BRCA2;ER;HER2;PR,0,1,1,1,0,1,0,0,0,1,"HR−, HER2+, BRCA/HRD+",metastatic · ductal
NCT03155997,Endocrine Therapy With or Without Abemaciclib (LY2835219) Following Surgery in Participants With Breast Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,5637,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,2,abemaciclib;standard adjuvant endocrine therapy,abemaciclib;standard adjuvant endocrine therapy,CDK4/6,Small Molecule,ER;HER2;HR;biomarker;biomarker analysis,0,1,1,1,0,0,0,0,0,1,"HR+, HER2+",metastatic · ductal
NCT03162627,Selumetinib and Olaparib in Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,90,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,5,olaparib;selumetinib,olaparib;selumetinib,MEK,Small Molecule,BRAF;KRAS,0,1,0,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,0,0,1,0,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
