nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,BRCA/HRD,KRAS,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT03257033,Intra-arterial Gemcitabine vs. IV Gemcitabine and Nab-Paclitaxel Following Radiotherapy for LAPC,PHASE3,Phase 3,RECRUITING,190,RenovoRx,RenovoRx,2,1,0,active_comparator,2,gemcitabine;nab-paclitaxel,device: renovocath;gemcitabine,,Small Molecule,MET,0,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT03301805,"A Phase II, EvaluateBLEX 404 Combined With Gemcitabine Monotherapy With Pancreatic Cancer",PHASE2,Phase 2,NOT_YET_RECRUITING,40,Rgene Corporation,Rgene,2,1,0,single_arm,1,blex 404,blex 404,,,MET,0,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT03368963,TAS102 in Combination With NAL-IRI in Advanced GI Cancers,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,64,Emory University,Emory University,116,0,0,single_arm,1,nanoliposomal irinotecan;trifluridine/tipiracil,nanoliposomal irinotecan;trifluridine/tipiracil,TOP1,Small Molecule,,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03454035,Ulixertinib/Palbociclib in Patients With Advanced Pancreatic and Other Solid Tumors,PHASE1,Phase 1,RECRUITING,45,UNC Lineberger Comprehensive Cancer Center,UNC Lineberger Comprehensive Cancer Center,85,0,1,single_arm,1,palbociclib;ulixertinib,palbociclib;ulixertinib,MAPK,Small Molecule,BRAF;KRAS;NF1;PD-L1;RAS;molecular profiling,0,1,0,1,0,0,1,1,KRASm,metastatic · 2nd-line+ · measurable (RECIST)
NCT03485209,Efficacy and Safety Study of Tisotumab Vedotin for Patients With Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,7,tisotumab vedotin,carboplatin;cisplatin;pembrolizumab;tisotumab vedotin,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03556228,VMD-928 Monotherapy and in Combination With Pembrolizumab to Treat TrkA Overexpression Driven Solid Tumors or Lymphoma,PHASE1;PHASE2,Phase 2,RECRUITING,242,"VM Oncology, LLC",VM Oncology,1,1,0,multi_experimental,2,,vmd-928;vmd-928 tablet and pembrolizumab (,PD-1,,NTRK;PR,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+
NCT03563248,Losartan and Nivolumab in Combination With FOLFIRINOX and SBRT in Localized Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,168,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,active_comparator,4,FOLFIRINOX;sbrt;surgery,FOLFIRINOX;losartan;nivolumab;sbrt;surgery,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT03579836,Evaluation of Safety and Efficacy in BEY1107 in Monotherapy Gemcitabine Combination in Patient with Pancreatic Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,75,BeyondBio Inc.,BeyondBio,3,1,0,multi_experimental,3,bey1107,bey1107;gemcitabine,,,,0,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST) · ECOG 0-1
NCT03600233,Study of CVM-1118 for Patients With Advanced Neuroendocrine Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,34,"TaiRx, Inc.",TaiRx,8,1,0,single_arm,1,cvm-1118,cvm-1118,VM,Small Molecule,,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT03678883,9-ING-41 in Patients With Advanced Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Actuate Therapeutics Inc.,Actuate Therapeutics,4,1,0,multi_experimental,8,9-ing-41,9-ing-41;carboplatin.;doxorubicin.;gemcitabine - 21 day cycle;gemcitabine - 28 day cycle;irinotecan;lomustine;nab paclitaxel.;paclitaxel.,GSK3B,Small Molecule,HER2,0,1,0,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST) · ECOG 0
NCT03682289,Ceralasertib (AZD6738) Alone and in Combination With Olaparib or Durvalumab in Patients With Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,83,Rahul Aggarwal,Rahul Aggarwal,7,0,1,multi_experimental,3,ceralasertib,ceralasertib;durvalumab;olaparib,ATM,Small Molecule,BRCA1;BRCA2;HRR;MET;MMR;MSI,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · ductal · measurable (RECIST)
NCT03806309,"OSE2101+FOLFIRI, or FOLFIRI Maintenance After FOLFIRINOX-based Induction Therapy in Advanced or Metastatic PDAC",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,106,GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR - Multidisciplinary Oncology Cooperative Group,13,0,0,active_comparator,2,FOLFIRI,FOLFIRI;ose2101,PD-1,Vaccine,HLA-A2,1,1,0,0,0,1,1,0,,metastatic · 1st-line · adenoca. · measurable (RECIST) · ECOG 0-1
NCT03816163,A Study of Zolbetuximab (IMAB362) in Adults With Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,393,"Astellas Pharma Global Development, Inc.",Astellas,171,1,1,active_comparator,2,gemcitabine;nab-paclitaxel,gemcitabine;nab-paclitaxel;zolbetuximab,CLDN18.2,Monoclonal Antibody,CLDN18.2;HER2;PD-L1,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03851614,"Study of DNA Damage, Angiogenesis, and PD-L1 Inhibitors in Advanced Solid Tumors",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,90,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,multi_experimental,2,durvalumab,cediranib;durvalumab;olaparib,PD-L1,Monoclonal Antibody,EGFR;MET;MMR;biomarker;genomic,1,1,1,0,0,0,1,1,BRCA/HRD+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST) · ECOG 0-1
NCT03875820,Phase I Trial of Defactinib and VS-6766.,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,87,"Institute of Cancer Research, United Kingdom","Institute of Cancer Research, United Kingdom",24,0,0,multi_experimental,8,defactinib;vs-6766,defactinib;vs-6766,BRAF,Small Molecule,BRAF;KRAS,0,1,0,1,0,0,1,1,KRASm,metastatic · 2nd-line+ · small-cell · measurable (RECIST)
NCT03891784,"Abemaciclib in Treating Patients With Advanced, Refractory, and Unresectable Digestive System Neuroendocrine Tumors",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,20,University of Washington,University of Washington,74,0,1,single_arm,1,abemaciclib,abemaciclib,ER,Small Molecule,ER;HER2,0,1,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03899636,A Pivotal Study of Safety and Effectiveness of NanoKnife IRE for Stage 3 Pancreatic Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,528,"Angiodynamics, Inc.",Angiodynamics,8,1,0,active_comparator,2,modified folfirinox,device: nanoknife system;modified folfirinox,,,,0,1,0,0,0,0,0,0,,unresectable · adenoca.
NCT03915678,Atezolizumab Combined With BDB001 AnD Immunogenic Radiotherapy in Patients With Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,247,Institut Bergonié,Institut Bergonié,27,0,1,multi_experimental,6,,association atezolizumab + bdb001 + rt;association atezolizumab + bdb001+ rt,PD-L1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST) · ECOG 1
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,0,0,0,1,0,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04005690,Targeted Pathway Inhibition in Patients With Pancreatic Cancer,EARLY_PHASE1,Phase 1,RECRUITING,90,OHSU Knight Cancer Institute,OHSU Knight Cancer Institute,48,0,1,multi_experimental,6,,azenosertib;cobimetinib;olaparib;onvansertib;saruparib;tremelimumab,MEK,Small Molecule,BRAF;biomarker,0,1,0,0,0,1,0,0,,metastatic · 1st-line · adenoca.
NCT04083599,GEN1042 Safety Trial and Anti-tumor Activity in Participants With Malignant Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Genmab,Genmab,65,1,1,multi_experimental,2,gen1042,carboplatin;cisplatin;fluorouracil;gemcitabine;gen1042;nab-paclitaxel;paclitaxel;pembrolizumab;pemetrexed,CD40,Bispecific Antibody,PD-L1,1,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT04117087,Pooled Mutant KRAS-Targeted Long Peptide Vaccine Combined With Nivolumab and Ipilimumab for Patients With Resected Mismatch Repair Protein (MMR-p) Colorectal and Pancreatic Cancer,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,27,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,160,0,1,multi_experimental,2,ipilimumab;kras peptide vaccine;nivolumab,ipilimumab;kras peptide vaccine;nivolumab,PD-1,Monoclonal Antibody,CD30;KRAS;PD-L1,1,1,0,1,0,0,0,1,KRASm,metastatic · measurable (RECIST)
NCT04140526,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,733,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,onc-392,docetaxel;onc-392;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04150042,SHARON: A Clinical Trial for Metastatic Cancer Using Chemotherapy and Patients' Own Stem Cells,PHASE1,Phase 1,RECRUITING,24,"General Oncology, Inc.",General Oncology,1,1,0,single_arm,1,bcnu;device: autologous hematopoietic stem cells;melphalan;vitamin b12b;vitamin c,bcnu;device: autologous hematopoietic stem cells;melphalan;vitamin b12b;vitamin c,,,HER2,0,1,0,0,0,1,0,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04157127,Th-1 Dendritic Cell Immunotherapy Plus Standard Chemotherapy for Pancreatic Adenocarcinoma,PHASE1,Phase 1,RECRUITING,18,Diakonos Oncology Corporation,Diakonos Oncology,3,1,0,multi_experimental,3,autologous dc therapy,autologous dc therapy,,Cell Therapy,MET,1,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT04161755,Study of Personalized Tumor Vaccines (PCVs) and a PD-L1 Blocker in Patients With Pancreatic Cancer That Can be Treated With Surgery,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,29,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,FOLFIRINOX;atezolizumab;ro7198457,FOLFIRINOX;atezolizumab;ro7198457,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;TMB,1,1,0,0,0,0,0,0,,metastatic · adenoca.
NCT04205227,ENB003 Plus Pembrolizumab Phase 1b/2a in Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,137,"ENB Therapeutics, Inc",ENB Therapeutics,1,1,1,multi_experimental,7,enb003;pembrolizumab,enb003;pembrolizumab,PD-1,Monoclonal Antibody,MET;MSI;MSI-H;PD-L1;biomarker;biomarker analysis;dMMR,1,1,0,0,1,1,1,1,MSI-H/dMMR,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04241276,A Randomised Trial of ATRA in a Novel Drug Combination for Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,170,Queen Mary University of London,Queen Mary University of London,19,0,0,active_comparator,2,gemcitabine;nab-paclitaxel,atra;gemcitabine;nab-paclitaxel,RARA,Small Molecule,UNKNOWN,0,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST) · ECOG 2
NCT04331041,Stereotactic Body Radiotherapy and Focal Adhesion Kinase Inhibitor in Advanced Pancreas Adenocarcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,42,Washington University School of Medicine,Washington University School of Medicine,178,0,0,active_comparator,2,device: adaptive stereotactic body radiation therapy;research blood draw,defactinib;device: adaptive stereotactic body radiation therapy;research blood draw;tumor biopsy,FAK,Small Molecule,PD-L1,0,1,0,0,0,0,0,0,,unresectable · adenoca.
NCT04361162,Nivolumab + Ipilimumab + Radiation in MSS Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,30,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,single_arm,1,ipilimumab;nivolumab;radiation,ipilimumab;nivolumab;radiation,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT04381130,A Phase I/IIa Study of EF-009 in Patients With Pancreatic Cancer,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,30,"Everfront Biotech Co., Ltd.",Everfront Biotech,3,1,0,single_arm,1,ef-009,ef-009,,,,0,1,0,0,0,0,0,0,,metastatic
NCT04389632,A Study of Sigvotatug Vedotin in Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,1006,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,5,sigvotatug vedotin,carboplatin;cisplatin;pembrolizumab;sigvotatug vedotin,PD-1,Monoclonal Antibody,HER2;PD-L1,1,1,0,0,0,1,1,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04390399,Combination Immunotherapy Plus Standard-of-Care Chemotherapy Versus Standard-of-Care Chemotherapy for the Treatment of Locally Advanced or Metastatic Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,328,"ImmunityBio, Inc.",ImmunityBio,63,1,0,active_comparator,6,fluorouracil;gemcitabine;irinotecan liposome;leucovorin;nab-paclitaxel;sbrt,aldoxorubicin hcl;cyclophosphamide;gemcitabine;n-803;nab-paclitaxel;pd-l1 t-hank;sbrt,IL-15,Recombinant Protein,PD-L1;PR,0,1,0,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST) · ECOG 0
NCT04396821,A Trial to Evaluate Safety and Tolerability of TST001 in Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,150,"Transcenta Therapeutics (Hangzhou) Co., Ltd.",Transcenta Therapeutics (Hangzhou),8,1,1,multi_experimental,5,tst001,FOLFOX;albumin-bound paclitaxel;gemcitabine;nivolumab injection [opdivo];tst001,PD-1,Monoclonal Antibody,CLDN18.2,1,1,0,0,0,1,0,0,,metastatic · 1st-line · adenoca. · ECOG 0-1
NCT04404595,"Claudin18.2 CAR-T (CT041) in Patients With Gastric, Pancreatic Cancer, or Other Specified Digestive Cancers",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,110,"CARsgen Therapeutics Co., Ltd.",CARsgen Therapeutics,11,1,0,single_arm,1,ct041,ct041,CLDN18.2,CAR-T,CLDN18.2,1,1,0,0,0,1,0,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04421820,BOLD-100 in Combination With FOLFOX for the Treatment of Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,220,"Bold Therapeutics, Inc.",Bold Therapeutics,1,1,0,active_comparator,9,bold-100 +/- folfox chemotherapy (arm vii),bold-100 in combination with folfox chemotherapy (arms i-vi),,Small Molecule,BRAF;ER;HER2;MSI;MSI-H,0,1,0,0,1,0,0,1,MSI-H/dMMR,metastatic · measurable (RECIST)
NCT04429542,Study of Safety and Tolerability of BCA101 Monotherapy and in Combination Therapy in Patients With EGFR-driven Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,292,Bicara Therapeutics,Bicara,3,1,1,multi_experimental,2,bca101,bca101;pembrolizumab,EGFR,Bispecific Antibody,EGFR;PD-L1;biomarker;biomarker analysis,1,1,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT04477343,A Study to Evaluate the Safety and Tolerability of SX-682 in Combination With Nivolumab as a Maintenance Therapy in Patients With Metastatic Pancreatic Ductal Adenocarcinoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,University of Rochester,University of Rochester,15,0,1,single_arm,1,nivolumab injectable product;sx-682,nivolumab injectable product;sx-682,CXCR1/2,Small Molecule,RAS;biomarker;biomarker analysis,0,1,0,0,0,1,0,0,,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04503265,A Trial of AMXI-5001 for Treatment in Patients With Advanced Malignancies,PHASE1;PHASE2,Phase 2,RECRUITING,122,"AtlasMedx, Incorporated",AtlasMedx,1,1,0,single_arm,1,amxi-5001:dose escalation phase i;amxi-5001:dose expansion phase ii,amxi-5001:dose escalation phase i;amxi-5001:dose expansion phase ii,,,,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · ECOG 0-1
NCT04543071,"Chemo4METPANC Combination Chemokine Inhibitor, Immunotherapy, and Chemotherapy in Pancreatic Adenocarcinoma",PHASE2,Phase 2,RECRUITING,10,Gulam Manji,Gulam Manji,3,0,1,single_arm,1,cemiplimab;gemcitabine;motixafortide;nab-paclitaxel,cemiplimab;gemcitabine;motixafortide;nab-paclitaxel,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT04575922,Nivolumab+Ipilimumab+RT in MSS mCRC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,32,Massachusetts General Hospital,Massachusetts General Hospital,170,0,1,single_arm,1,ipilimumab;nivolumab;radiation therapy,ipilimumab;nivolumab;radiation therapy,PD-1,Monoclonal Antibody,CD30;MSI,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT04581473,"Study to Evaluate the Efficacy, Safety and Pharmacokinetics of CT041 Autologous CAR T-cell Injection",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,192,"CARsgen Therapeutics Co., Ltd.",CARsgen Therapeutics,11,1,0,active_comparator,2,physician's choice（paclitaxel or irinotecan or apatinib or anti-pd-1 antibody）,ct041 autologous car t-cell injection,CLDN18.2,CAR-T,CD19;CLDN18.2;HER2;MET,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT04589234,Saltikva for Metastatic Pancreatic Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,60,Salspera LLC,Salspera,1,1,0,multi_experimental,2,salmonella-il2,folfirinox alone (historical controls);gemcitabine/abraxane alone (historical controls);salmonella-il2,IL-2,Oncolytic Virus,,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT04605913,Nab-Paclitaxel + Cisplatin + Gemcitabine + TTF in pt. w/ Metastatic PAC,PHASE1;PHASE2,Phase 2,RECRUITING,40,Mayo Clinic,Mayo Clinic,31,0,0,single_arm,1,modified gcn+ttf treatment,modified gcn+ttf treatment,,Cell Therapy,,1,1,0,0,0,0,0,0,,metastatic · adenoca. · measurable (RECIST)
NCT04644068,Study of AZD5305 as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Malignancies,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,702,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,6,azd5305,azd5305;camizestrant;carboplatin;dato-dxd;paclitaxel;t- dxd,PARP,Small Molecule,,0,1,0,0,0,0,1,0,,metastatic · 2nd-line+ · ECOG 0
NCT04657068,A Study of ART0380 for the Treatment of Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,542,Artios Pharma Ltd,Artios Pharma,4,1,0,multi_experimental,10,art0380,art0380;gemcitabine;irinotecan,ATR,Small Molecule,,0,1,1,0,0,1,1,1,BRCA/HRD+,metastatic · 1st-line · squamous · measurable (RECIST)
