nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,translocation,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT03594422,A Study of HQP1351 in Patients With GIST or Other Solid Tumors,PHASE1,Phase 1,RECRUITING,100,Ascentage Pharma Group Inc.,Ascentage Pharma,45,1,0,multi_experimental,4,hqp1351,hqp1351,BCR-ABL,Small Molecule,BCR-ABL,0,1,0,0,1,0,0,,metastatic · 1st-line · ECOG 2
NCT03628209,"Nivolumab or Nivolumab and Azacitidine in Patients With Recurrent, Resectable Osteosarcoma",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,21,H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,228,0,1,single_arm,1,azacitidine;nivolumab;post treatment surgery,azacitidine;nivolumab;post treatment surgery,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0,,metastatic · ECOG 0-1
NCT03673501,A Study of Ripretinib vs Sunitinib in Advanced GIST Patients After Treatment With Imatinib,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,453,"Deciphera Pharmaceuticals, LLC",Deciphera,17,1,0,active_comparator,2,sunitinib,ripretinib,KIT,Small Molecule,KIT,0,1,0,0,1,0,0,,metastatic · 1st-line · measurable (RECIST)
NCT03678883,9-ING-41 in Patients With Advanced Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,350,Actuate Therapeutics Inc.,Actuate Therapeutics,4,1,0,multi_experimental,8,9-ing-41,9-ing-41;carboplatin.;doxorubicin.;gemcitabine - 21 day cycle;gemcitabine - 28 day cycle;irinotecan;lomustine;nab paclitaxel.;paclitaxel.,GSK3B,Small Molecule,HER2,0,1,0,0,1,1,0,,metastatic · 1st-line · measurable (RECIST) · ECOG 0
NCT03709680,Study Of Palbociclib Combined With Chemotherapy In Pediatric Patients With Recurrent/Refractory Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,128,Pfizer,Pfizer,687,1,1,active_comparator,4,irinotecan;temozolomide,cyclophosphamide;irinotecan;palbociclib;temozolomide;topotecan,CDK4/6,Small Molecule,ER;HER2;PR,0,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0-1
NCT03715933,Phase 1 Study of INBRX-109 in Subjects With Locally Advanced or Metastatic Solid Tumors Including Sarcomas,PHASE1,Phase 1,RECRUITING,411,"Inhibrx Biosciences, Inc",Inhibrx Biosciences,4,1,0,multi_experimental,14,inbrx-109,bevacizumab;carboplatin;fluorouracil;inbrx-109;irinotecan;leucovorin;pemetrexed;temozolomide;trifluridine + tipiracil,DR5,Monoclonal Antibody,IDH1;IDH2,1,1,0,1,1,1,1,fusion+,metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT03778996,SM-88 Maintenance Therapy for Advanced Ewing's Sarcoma and as Salvage Therapy for Sarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,31,"Sarcoma Oncology Research Center, LLC","Sarcoma Oncology Research Center, LLC",3,0,0,multi_experimental,2,combination metyrosine-derivative;low-dose methoxsalen;phenytoin and sirolimus (mps),combination metyrosine-derivative;low-dose methoxsalen;phenytoin and sirolimus (mps),,,PR,0,1,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST)
NCT03805022,Benefit of Intensified Peri-operative Chemotherapy Within High-risk CINSARC Patients With Resectable Soft-tissue Sarcomas,PHASE3,Phase 3,RECRUITING,351,Institut Bergonié,Institut Bergonié,27,0,1,multi_experimental,3,,at the discretion of the investigator;doxorubicin;ifosfamide or dacarbazine,,Small Molecule,,0,1,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT03899792,A Study of Oral LOXO-292 (Selpercatinib) in Pediatric Participants With Advanced Solid or Primary Central Nervous System (CNS) Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,36,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,selpercatinib,selpercatinib,RET,Small Molecule,RET,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04028063,Doxorubicin Plus Dual Checkpoint Blockade for Soft Tissue Sarcomas,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,65,"University of Colorado, Denver","University of Colorado, Denver",46,0,0,multi_experimental,5,doxorubicin,balstilimab;botensilimab;doxorubicin;zalifrelimab,PD-1,Monoclonal Antibody,MSI-H;dMMR,1,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04044768,Spearhead 1 Study in Subjects With Advanced Synovial Sarcoma or Myxoid/Round Cell Liposarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,52,"USWM CT, LLC",USWM CT,8,1,0,single_arm,1,afamitresgene autoleucel (previously adp-a2m4),afamitresgene autoleucel (previously adp-a2m4),MAGE-A4,Cell Therapy,GD2;HLA-A*02;MAGE-A4,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04079179,"Cobimetinib in Refractory Langerhans Cell Histiocytosis (LCH), and Other Histiocytic Disorders",PHASE2,Phase 2,RECRUITING,90,Carl Allen,Carl Allen,1,0,1,multi_experimental,4,cobimetinib,cobimetinib,MEK,Small Molecule,BRAF;MET,0,1,0,1,0,1,1,fusion+,2nd-line+
NCT04165330,Evaluation of AL3818 in Combination With Nivolumab in Solid Tumors,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,56,"Sarcoma Oncology Research Center, LLC","Sarcoma Oncology Research Center, LLC",3,0,0,single_arm,1,al3818;nivolumab injection,al3818;nivolumab injection,VEGF/VEGFR,Small Molecule,,0,1,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04185883,Sotorasib Activity in Subjects With Advanced Solid Tumors With KRAS p.G12C Mutation (CodeBreak 101),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,610,Amgen,Amgen,323,1,1,multi_experimental,14,sotorasib,afatinib;amg 404;atezolizumab;bi 1701963;carboplatin;docetaxel;everolimus;iv chemotherapy (regimen 1);iv chemotherapy (regimen 2);mvasi (bevacizumab-awwb);paclitaxel;palbociclib;panitumumab;pembrolizumab;pemetrexed;rmc-4630;sotorasib;tno155;trametinib,MEK,Small Molecule,BRAF;KRAS,0,1,0,0,0,0,0,,metastatic
NCT04273061,Investigating the Effects of Atezolizumab in People Whose Tumour DNA or RNA Indicates Possible Sensitivity,PHASE2,Phase 2,RECRUITING,50,British Columbia Cancer Agency,British Columbia Cancer Agency,21,0,1,multi_experimental,3,atezolizumab,atezolizumab,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;PD-L1;TMB;genomic,1,1,1,1,0,0,1,"PD-L1+, fusion+",metastatic · measurable (RECIST)
NCT04337177,"Flavored, Oral Irinotecan VAL-413 (Orotecan®) Given With Temozolomide for Treatment of Recurrent Pediatric Solid Tumors",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,"Valent Technologies, LLC",Valent Technologies,1,1,0,multi_experimental,3,temozolomide;val-413,temozolomide;val-413,TOP1,Small Molecule,MET,0,1,0,1,0,0,1,fusion+,metastatic
NCT04370587,A Clinical Study of Intratumoral MVR-T3011 (T3011) Given as a Single Agent and in Combination With Intravenous Pembrolizumab in Participants With Advanced or Metastatic Solid Tumors,PHASE1;PHASE2,Phase 2,RECRUITING,30,ImmVira Pharma Co. Ltd,ImmVira Pharma,8,1,0,multi_experimental,5,,t3011;t3011 + pembrolizumab,PD-1,Oncolytic Virus,ALK;EGFR,1,1,1,1,0,0,1,"PD-L1+, fusion+",metastatic · measurable (RECIST)
NCT04383119,Trial in Patients With Metastatic or Locally Advanced Leiomyosarcoma,PHASE2,Phase 2,RECRUITING,100,Italian Sarcoma Group,Italian Sarcoma Group,7,0,0,active_comparator,3,gemcitabine;no intervention: observational cohort,trabectedin,EZH2,Small Molecule,DDX4,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04390737,Evaluate the Safety and Clinical Activity of HH2853,PHASE1;PHASE2,Phase 2,RECRUITING,254,"Haihe Biopharma Co., Ltd.",Haihe Biopharma,17,1,0,single_arm,1,hh2853 tablets,hh2853 tablets,EZH1/2,Small Molecule,INI1;MET,0,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · measurable (RECIST)
NCT04420975,Nivolumab and BO-112 Before Surgery for the Treatment of Resectable Soft Tissue Sarcoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,14,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,0,single_arm,1,definitive surgical resection;nanoplexed poly i:c bo-112;nivolumab;radiation therapy,definitive surgical resection;nanoplexed poly i:c bo-112;nivolumab;radiation therapy,PD-1,Oncolytic Virus,,1,1,0,1,0,0,1,fusion+,
NCT04511871,A Phase I Trial of CCT303-406 in Patients With Relapsed or Refractory HER2 Positive Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,12,"Shanghai PerHum Therapeutics Co., Ltd.",Shanghai PerHum Therapeutics,4,1,0,single_arm,1,cct303-406,cct303-406,HER2,CAR-T,HER2,1,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04551430,Cabozantinib Combined With PD-1 and CTLA-4 Inhibition in Metastatic Soft Tissue Sarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,105,Washington University School of Medicine,Washington University School of Medicine,178,0,1,multi_experimental,3,cabozantinib,cabozantinib;ipilimumab;nivolumab,MET,Small Molecule,PD-L1,0,1,1,1,0,1,1,"PD-L1+, fusion+",metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT04577014,Retifanlimab (Anti-PD-1 Antibody) With Gemcitabine and Docetaxel in Patients With Advanced Soft Tissue Sarcoma,PHASE1;PHASE2,Phase 2,RECRUITING,98,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,0,multi_experimental,10,retifanlimab,docetaxel;gemcitabine;retifanlimab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04599062,TVEC and Preop Radiation for Sarcoma (8 ml Dose),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,8,John Rieth,John Rieth,3,0,1,active_comparator,2,radiotherapy;talimogene laherparepvec,radiotherapy;talimogene laherparepvec,,Oncolytic Virus,,1,1,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT04673942,A Study of AdAPT-001 in Subjects With Sarcoma and Refractory Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,140,"EpicentRx, Inc.",EpicentRx,13,1,0,multi_experimental,4,adapt-001,adapt-001;checkpoint inhibitor;immune,TGF-β,Oncolytic Virus,,1,1,0,0,0,1,0,,advanced · 2nd-line+
NCT04719156,Fluorescent Intra-operative Tumor Margin Examination,PHASE2,Phase 2,RECRUITING,110,Kurt Weiss,Kurt Weiss,1,0,0,single_arm,1,device: stryker spy-phi imaging device;indocyanine green solution administered at 2.,,,,,0,1,0,0,0,0,0,,recurrent
NCT04733183,Efficacy and Safety of L19TNF in Previously Treated Patients with Advanced Stage or Metastatic Soft-tissue Sarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,98,Philogen S.p.A.,Philogen S.p.A.,45,1,0,active_comparator,2,dacarbazine,dacarbazine;onfekafusp alfa,TNF,Bispecific Antibody,L19,1,1,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 2
NCT04784247,Lenvatinib and Pembrolizumab in People With Advanced Soft Tissue Sarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,52,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,5,lenvatinib;pembrolizumab,lenvatinib;pembrolizumab,VEGF/VEGFR,Small Molecule,PD-L1,0,1,1,1,1,0,1,"PD-L1+, fusion+",metastatic · 1st-line · measurable (RECIST) · ECOG 0-1
NCT04797767,Venetoclax and CLAG-M for the Treatment of Acute Myeloid Leukemia and High-Grade Myeloid Neoplasms,PHASE1;PHASE2,Phase 2,RECRUITING,62,University of Washington,University of Washington,74,0,1,single_arm,1,biospecimen collection;bone marrow aspiration;bone marrow biopsy;cladribine;cytarabine;mitoxantrone;recombinant granulocyte colony-stimulating factor;venetoclax,biospecimen collection;bone marrow aspiration;bone marrow biopsy;cladribine;cytarabine;mitoxantrone;recombinant granulocyte colony-stimulating factor;venetoclax,CD22,Small Molecule,CD22,0,1,0,0,0,1,0,,2nd-line+ · ECOG 2
NCT04802876,Efficacy of Tislelizumab and Spartalizumab Across Multiple Cancer-types in Patients with PD1-high MRNA Expressing Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,SOLTI Breast Cancer Research Group,SOLTI Breast Cancer Research Group,18,0,1,multi_experimental,3,,spartalizumab;tislelizumab,PD-1,Monoclonal Antibody,BRAF,1,1,1,1,0,0,1,"PD-L1+, fusion+",metastatic · squamous · measurable (RECIST)
NCT04874311,Bintrafusp Alfa and Doxorubicin Hydrochloride in Treating Patients With Advanced Sarcoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,80,Institut Bergonié,Institut Bergonié,27,0,1,multi_experimental,4,bintrafusp alfa;doxorubicin,bintrafusp alfa;doxorubicin,PD-L1,Bispecific Antibody,PD-L1;biomarker,1,1,1,1,0,0,1,"PD-L1+, fusion+",metastatic · squamous · measurable (RECIST) · ECOG 1
NCT04901702,Study of Onivyde With Talazoparib or Temozolomide in Children With Recurrent Solid Tumors and Ewing Sarcoma,PHASE1;PHASE2,Phase 2,RECRUITING,90,St. Jude Children's Research Hospital,St. Jude Children's Research Hospital,44,0,1,active_comparator,2,onivyde;talazoparib;temozolomide,,PARP,Small Molecule,ATM;BRCA1;BRCA2;BRIP1;CDK12;CHEK2;PALB2;RA,0,1,0,1,1,1,1,fusion+,metastatic · 1st-line · measurable (RECIST)
NCT04924075,"Belzutifan/MK-6482 for the Treatment of Advanced Pheochromocytoma/Paraganglioma (PPGL), Pancreatic Neuroendocrine Tumor (pNET), Von Hippel-Lindau (VHL) Disease-Associated Tumors, Advanced Gastrointestinal Stromal Tumor (wt GIST), or Solid Tumors With HIF-2α Related Genetic Alterations (MK-6482-015)",PHASE2,Phase 2,RECRUITING,355,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,single_arm,1,belzutifan,belzutifan,HIF-2α,Small Molecule,HIF-2α;VHL,0,1,0,0,0,0,0,,metastatic
NCT04968106,Neoadjuvant Chemotherapy and Retifanlimab in Patients With Selected Sarcomas (TORNADO),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,66,Institut Bergonié,Institut Bergonié,27,0,0,multi_experimental,2,doxorubicin;ifosfamide;incmga00012,doxorubicin;ifosfamide;incmga00012,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,1,fusion+,metastatic · squamous · measurable (RECIST) · ECOG 1
NCT04969835,"A Study Evaluating the Safety, Pharmacokinetics and Early Efficacy of AVA6000 in Solid Tumours",PHASE1,Phase 1,RECRUITING,158,Avacta Life Sciences Ltd,Avacta Life Sciences,2,1,0,multi_experimental,4,ava6000,ava6000,FAP,ADC,FAP;PR,1,1,0,1,1,1,1,fusion+,metastatic · 1st-line · measurable (RECIST)
NCT04999761,AB122 Platform Study,PHASE1,Phase 1,RECRUITING,917,"Taiho Pharmaceutical Co., Ltd.",Taiho,86,1,0,multi_experimental,18,ab122,ab122;ab154;bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;nab-paclitaxel;ramucirumab;tas-115;tas-116;tas-120;trifluridine/tipiracil,PD-1,Monoclonal Antibody,KRAS;MET;PD-L1,1,1,1,1,1,1,1,"PD-L1+, fusion+",metastatic · 1st-line · adenoca.
NCT05000294,Atezolizumab Plus Tivozanib in Immunologically Cold Tumor Types,PHASE1;PHASE2,Phase 2,RECRUITING,29,University of Florida,University of Florida,28,0,1,single_arm,1,atezolizumab;tivozanib,atezolizumab;tivozanib,PD-L1,Monoclonal Antibody,CMMRD;HER2;MET;MSI;MSI-H;PD-L1;TMB;dMMR,1,1,1,1,0,0,1,"PD-L1+, fusion+",metastatic · adenoca. · measurable (RECIST)
NCT05075993,Study of LVGN3616 and LVGN6051±LVGN7409 in Combination With Nab-Paclitaxel or Bevacizumab and Cyclophosphamide in Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,352,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,0,multi_experimental,4,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,lvgn3616 + lvgn6051 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + bevacizumab + cyclophosphamide;lvgn3616 + lvgn6051 + lvgn7409 + nab-paclitaxel;lvgn3616 + lvgn6051 + nab-paclitaxel,,,PD-L1;molecular profiling,0,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05099666,Lurbinectedin + Doxorubicin In Leiomyosarcoma,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,62,Massachusetts General Hospital,Massachusetts General Hospital,170,0,0,active_comparator,3,doxorubicin,doxorubicin;lurbinectedin,EZH2,Small Molecule,EZH2,0,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · measurable (RECIST)
NCT05135975,A Study of Cabozantinib as a Maintenance Agent to Prevent Progression or Recurrence in High-Risk Pediatric Solid Tumors,PHASE2,Phase 2,RECRUITING,86,Nationwide Children's Hospital,Nationwide Children's Hospital,6,0,0,single_arm,1,cabozantinib,cabozantinib,MET,Small Molecule,PD-L1,0,1,0,1,0,0,1,fusion+,metastatic · measurable (RECIST) · ECOG 0-1
NCT05180695,HDM201 and Pazopanib in Patients With P53 Wild-type Advanced/Metastatic Soft Tissue Sarcomas,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,47,Centre Leon Berard,Centre Leon Berard,30,0,1,multi_experimental,2,hdm201;pazopanib,hdm201;pazopanib,VEGF/VEGFR,Small Molecule,,0,1,0,1,0,1,1,fusion+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05182164,Combination of Pembrolizumab and Cabozantinib in Patients With Advanced Sarcomas,PHASE2,Phase 2,RECRUITING,119,Institut Bergonié,Institut Bergonié,27,0,1,multi_experimental,3,association of pembrolizumab + cabozantinib,association of pembrolizumab + cabozantinib,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT05208047,(Peak) A Phase 3 Randomized Trial of CGT9486+Sunitinib vs. Sunitinib in Subjects With Gastrointestinal Stromal Tumors,PHASE3,Phase 3,RECRUITING,482,"Cogent Biosciences, Inc.",Cogent Biosciences,11,1,0,active_comparator,7,sunitinib,cgt9486;midazolam;sunitinib,KIT,Small Molecule,KIT,0,1,0,0,0,0,0,,metastatic · measurable (RECIST)
