nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,FGFR,HER2,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT02869217,Study of TBI-1301 (NY-ESO-1 Specific TCR Gene Transduced Autologous T Lymphocytes) in Patients With Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,22,"University Health Network, Toronto","University Health Network, Toronto",91,0,0,multi_experimental,2,cyclophosphamide;fludarabine;tbi-1301,cyclophosphamide;fludarabine;tbi-1301,NY-ESO-1,Cell Therapy,HLA-A*02:01;HLA-A*02:06;MET;NY-ESO-1,1,1,0,0,0,0,0,0,0,,metastatic · ductal · measurable (RECIST)
NCT02989584,A Phase II Study of Atezolizumab in Combination With Cisplatin + Gemcitabine Before Surgery to Remove the Bladder Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,54,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,atezolizumab;cisplatin;gemcitabine,atezolizumab;cisplatin;gemcitabine,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT03022825,QUILT-3.032: A Multicenter Clinical Trial of Intravesical Bacillus Calmette-Guerin (BCG) in Combination With ALT-803 (N-803) in Patients With BCG Unresponsive High Grade Non-Muscle Invasive Bladder Cancer,PHASE2;PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,190,"ImmunityBio, Inc.",ImmunityBio,63,1,0,single_arm,1,n-803;n-803 and bcg,n-803;n-803 and bcg,IL-15Rα,Cell Therapy,,1,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT03036098,Study of Nivolumab in Combination With Ipilimumab or Standard of Care Chemotherapy Compared to the Standard of Care Chemotherapy Alone in Treatment of Participants With Untreated Inoperable or Metastatic Urothelial Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1314,Bristol-Myers Squibb,Bristol Myers Squibb,764,1,1,active_comparator,4,carboplatin;cisplatin;gemcitabine,cisplatin;gemcitabine;ipilimumab;nivolumab,PD-1,Monoclonal Antibody,CD30;PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT03093922,A Study of Two Dosing Schedules of Atezolizumab in Combination With Gemcitabine and Cisplatin as First-Line Treatment for Metastatic Bladder Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,32,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,3,atezolizumab;cisplatin;gemcitabine,atezolizumab;cisplatin;gemcitabine,PD-L1,Monoclonal Antibody,CMMRD;MET;MSI-H;PD-L1;TMB,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT03132922,MAGE-A4ᶜ¹º³²T for Multi-Tumor,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,71,"USWM CT, LLC",USWM CT,8,1,0,multi_experimental,2,,autologous genetically modified mage-a4c1032t cells combined with low dose radiation;autologous genetically modified mage-a4ᶜ¹º³²t cells,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03170960,Study of Cabozantinib Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,914,Exelixis,Exelixis,52,1,0,multi_experimental,25,,atezolizumab;cabozantinib,MET,Small Molecule,PD-L1,0,1,1,0,0,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT03171025,Adjuvant Nivolumab Following Chemo-Radiation in Localized Muscle-Invasive Bladder Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,200,University of Utah,University of Utah,55,0,1,single_arm,1,nivolumab,nivolumab,PD-1,Monoclonal Antibody,CD30;biomarker,1,1,0,0,0,0,0,0,0,,metastatic · adenoca.
NCT03212404,Phase 1 Study of CK-301 (Cosibelimab) as a Single Agent in Subjects With Advanced Cancers,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,272,"Checkpoint Therapeutics, Inc.",Checkpoint Therapeutics,3,1,0,single_arm,1,ck-301 (cosibelimab),ck-301 (cosibelimab),PD-L1,Monoclonal Antibody,MMR;MSI;MSI-H;PD-L1;dMMR,1,1,1,0,0,1,0,0,1,"PD-L1+, MSI-H/dMMR",metastatic · squamous · measurable (RECIST)
NCT03216525,Alvimopan Versus Placebo in Patients Undergoing Radical Cystectomy on an Enhanced Recovery Protocol,PHASE3,Phase 3,RECRUITING,136,Brigham and Women's Hospital,Brigham and Women's Hospital,15,0,1,active_comparator,2,alvimopan,,,,MET,0,0,0,0,0,0,0,0,0,,neoadjuvant
NCT03228667,QUILT-3.055: A Study of Combination Immunotherapies in Patients Who Have Previously Received Treatment With Immune Checkpoint Inhibitors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"ImmunityBio, Inc.",ImmunityBio,63,1,0,multi_experimental,6,,n-803 + atezolizumab;n-803 + atezolizumab + pd-l1 t-hank;n-803 + avelumab;n-803 + avelumab + pd-l1 t-hank;n-803 + docetaxel + nivolumab;n-803 + docetaxel + pembrolizumab;n-803 + durvalumab;n-803 + durvalumab + pd-l1 t-hank;n-803 + nivolumab;n-803 + nivolumab + pd-l1 t-hank;n-803 + pembrolizumab;n-803 + pembrolizumab + pd-l1 t-hank,PD-1,Monoclonal Antibody,ALK;BRAF;HER2;KRAS;MET;NTRK;PD-L1;PR;RET;ROS1,1,1,1,0,1,0,0,0,1,"PD-L1+, HER2+",recurrent · measurable (RECIST)
NCT03252938,Feasibility and Safety of IMP321 (Eftilagimod Alpha) for Advanced Stage Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,83,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,28,0,0,multi_experimental,5,imp321,avelumab;imp321,LAG-3,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,1,1,1,PD-L1+,metastatic · 1st-line · adenoca. · measurable (RECIST) · ECOG 0
NCT03317158,"Modern Immunotherapy in BCG-Unresponsive, BCG-Relapsing and High Risk BCG-Naive Non-Muscle Invasive Urothelial Carcinoma of the Bladder",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,186,"Noah Hahn, M.D.","Noah Hahn, M.D.",5,0,1,multi_experimental,10,,bacillus calmette-guérin (bcg);docetaxel;durvalumab (cohort 1-3);durvalumab (cohort 4/5);external beam radiotherapy (ebrt);gemcitabine;intravesical nai (cohorts 6-7);subcutaneous nai (cohort 8);to be determined;tremelimumab,CTLA-4,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+
NCT03333616,Nivolumab Combined With Ipilimumab for Patients With Advanced Rare Genitourinary Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,100,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,single_arm,1,ipilimumab;nivolumab,ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03390504,A Study of Erdafitinib Compared With Vinflunine or Docetaxel or Pembrolizumab in Participants With Advanced Urothelial Cancer and Selected Fibroblast Growth Factor Receptor (FGFR) Gene Aberrations,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,629,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,multi_experimental,4,device: fibroblast growth factor receptor inhibitor clinical trial assay (fgfri cta),device: fibroblast growth factor receptor inhibitor clinical trial assay (fgfri cta);docetaxel;erdafitinib;pembrolizumab;vinflunine,FGFR,Small Molecule,FGFR,0,1,0,1,0,0,0,0,1,FGFR-alt,metastatic · squamous
NCT03459846,"A Study of Durvalumab Alone and Durvalumab+Olaparib in Advanced, Platinum-Ineligible Bladder Cancer (BAYOU)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,154,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,2,durvalumab,durvalumab;olaparib,PD-L1,Monoclonal Antibody,EGFR,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 2
NCT03473743,A Study of Erdafitinib in Participants With Metastatic or Locally Advanced Urothelial Cancer,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,125,"Janssen Research & Development, LLC",Johnson & Johnson,363,1,1,multi_experimental,2,cetrelimab;erdafitinib,carboplatin;cetrelimab;cisplatin;erdafitinib,FGFR,Small Molecule,FGFR;PD-L1,0,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST) · ECOG 0-1
NCT03504163,Pembrolizumab (MK-3475) and Bacillus Calmette-Guérin (BCG) as First-Line Treatment for High-Risk T1 Non-Muscle-Invasive Bladder Cancer (NMIBC) and High-Grade Non-Muscle-Invasive Upper Tract Urothelial Carcinoma (NMI-UTUC)],PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,45,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,multi_experimental,2,bacillus calmette-guérin (bcg);pembrolizumab (mk-3475),bacillus calmette-guérin (bcg);pembrolizumab (mk-3475),PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · squamous
NCT03528694,Assessment of Efficacy and Safety of Durvalumab Plus BCG Compared to the Standard Therapy With BCG in Non-muscle Invasive Bladder Cancer,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1018,AstraZeneca,AstraZeneca,780,1,1,active_comparator,3,bacillus calmette-guerin (bcg),bacillus calmette-guerin (bcg);durvalumab (medi4736),PD-L1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT03547973,Study of Sacituzumab Govitecan in Participants With Urothelial Cancer That Cannot Be Removed or Has Spread,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,502,Gilead Sciences,Gilead Sciences,168,1,1,multi_experimental,16,,avelumab;carboplatin;cisplatin;domvanalimab;enfortumab vedotin;gemcitabine;pembrolizumab;sacituzumab govitecan-hziy;zimberelimab,PD-1,Monoclonal Antibody,PD-L1;PR,1,1,1,0,0,0,1,1,1,PD-L1+,metastatic · 1st-line · measurable (RECIST)
NCT03582475,Pembrolizumab With Combination Chemotherapy in Treating Participants With Locally Advanced or Metastatic Small Cell/Neuroendocrine Cancers of Urothelium or Prostate,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,15,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,single_arm,1,carboplatin;cisplatin;docetaxel;etoposide;pembrolizumab,carboplatin;cisplatin;docetaxel;etoposide;pembrolizumab,PD-1,Monoclonal Antibody,MET;PD-L1,1,1,1,0,0,0,0,1,1,PD-L1+,metastatic · 2nd-line+ · squamous · measurable (RECIST)
NCT03589339,NBTXR3 Activated by Radiotherapy for Patients With Advanced Cancers Treated With An Anti-PD-1 Therapy,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,145,Nanobiotix,Nanobiotix,6,1,0,single_arm,1,nbtxr3;nivolumab;pembrolizumab;sabr,nbtxr3;nivolumab;pembrolizumab;sabr,PD-1,Radiopharmaceutical,,0,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST)
NCT03601455,"Radiation Therapy and Durvalumab With or Without Tremelimumab in Treating Participants With Unresectable, Locally Advanced, or Metastatic Bladder Cancer",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,13,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,1,multi_experimental,2,durvalumab;external beam radiation therapy,durvalumab;external beam radiation therapy;tremelimumab,PD-L1,Monoclonal Antibody,EGFR,1,1,0,0,0,0,0,0,0,,metastatic · measurable (RECIST) · ECOG 2
NCT03682068,"Study of Durvalumab Given With Chemotherapy, Durvalumab in Combination With Tremelimumab Given With Chemotherapy, or Chemotherapy in Patients With Unresectable Urothelial Cancer",PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1246,AstraZeneca,AstraZeneca,780,1,1,active_comparator,3,carboplatin + gemcitabine;cisplatin + gemcitabine,carboplatin + gemcitabine;cisplatin + gemcitabine;durvalumab;tremelimumab,PD-L1,Monoclonal Antibody,EGFR,1,1,1,0,0,0,1,1,1,PD-L1+,metastatic · 1st-line · measurable (RECIST)
NCT03682289,Ceralasertib (AZD6738) Alone and in Combination With Olaparib or Durvalumab in Patients With Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,83,Rahul Aggarwal,Rahul Aggarwal,7,0,1,multi_experimental,3,ceralasertib,ceralasertib;durvalumab;olaparib,ATM,Small Molecule,BRCA1;BRCA2;HRR;MET;MMR;MSI,0,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · ductal · measurable (RECIST)
NCT03697850,Atezolizumab After Chemo-radiotherapy for MIBC Patients Not Eligible for Radical Cystectomy,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,79,UNICANCER,UNICANCER,64,0,1,single_arm,1,atezolizumab,atezolizumab,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB;biomarker,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · adenoca.
NCT03711032,Efficacy and Safety of Pembrolizumab (MK-3475) in Combination With Bacillus Calmette-Guerin (BCG) in High-Risk Non-Muscle Invasive Bladder Cancer (HR NMIBC) (MK-3475-676/KEYNOTE-676),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1397,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,5,bcg,bcg;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1;biomarker;biomarker analysis,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT03732677,Durvalumab+ Gemcitabine/Cisplatin (Neoadjuvant Treatment) and Durvalumab (Adjuvant Treatment) in Patients With MIBC,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,1063,AstraZeneca,AstraZeneca,780,1,1,active_comparator,2,cisplatin;gemcitabine,cisplatin;durvalumab;gemcitabine,PD-L1,Monoclonal Antibody,EGFR;PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT03768570,Trimodality Therapy With/Out Durvalumab to Treat Patients With Muscle-Invasive Bladder Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,82,Canadian Cancer Trials Group,Canadian Cancer Trials Group,48,0,1,active_comparator,2,durvalumab,,PD-L1,Monoclonal Antibody,EGFR;PD-L1,1,0,1,0,0,0,0,0,1,PD-L1+,metastatic · small-cell
NCT03799835,Atezolizumab Plus One-year BCG Bladder Instillation in BCG-naive High-risk Non-muscle Invasive Bladder Cancer Patients,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,517,UNICANCER,UNICANCER,64,0,1,active_comparator,2,bcg,atezolizumab;bcg,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB,1,1,1,0,0,0,1,0,1,PD-L1+,metastatic · 1st-line · squamous
NCT03836352,"Study of an Immunotherapeutic, DPX-Survivac, in Combination With Low Dose Cyclophosphamide & Pembrolizumab, in Subjects With Selected Advanced & Recurrent Solid Tumors",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,184,"ImmunoVaccine Technologies, Inc. (IMV Inc.)","ImmunoVaccine Technologies, Inc. (IMV Inc.)",8,1,1,multi_experimental,2,dpx-survivac;pembrolizumab,cyclophosphamide;dpx-survivac;pembrolizumab,PD-1,Monoclonal Antibody,ALK;EGFR;MSI;PD-L1,1,1,1,0,0,0,1,0,1,PD-L1+,metastatic · 1st-line · small-cell · measurable (RECIST) · ECOG 0-1
NCT03837821,(CLONEVO): Cell cycLe inhbitiON to Target the EVolution of UrOthelial Cancer,EARLY_PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,20,Weill Medical College of Cornell University,Weill Medical College of Cornell University,90,0,1,single_arm,1,abemaciclib,abemaciclib,ER,Small Molecule,ER;HER2,0,1,0,0,0,0,0,0,0,,metastatic
NCT03872947,A Study of TRK-950 in Combinations With Anti-Cancer Treatment Regimens in Patients With Advanced Solid Tumors,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,138,"Toray Industries, Inc",Toray Industries,4,1,0,multi_experimental,15,trk-950,bevacizumab;carboplatin;cisplatin;fluorouracil;gemcitabine;imiquimod cream;irinotecan;leucovorin;nivolumab;paclitaxel;pembrolizumab;pld;ramucirumab;trk-950,PD-1,Monoclonal Antibody,CAPRIN-1;PR,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
NCT03915678,Atezolizumab Combined With BDB001 AnD Immunogenic Radiotherapy in Patients With Advanced Solid Tumors,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,247,Institut Bergonié,Institut Bergonié,27,0,1,multi_experimental,6,,association atezolizumab + bdb001 + rt;association atezolizumab + bdb001+ rt,PD-L1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST) · ECOG 1
NCT03924895,Perioperative Pembrolizumab (MK-3475) Plus Cystectomy or Perioperative Pembrolizumab Plus Enfortumab Vedotin Plus Cystectomy Versus Cystectomy Alone in Participants Who Are Cisplatin-ineligible or Decline Cisplatin With Muscle-invasive Bladder Cancer (MK-3475-905/KEYNOTE-905/EV-303),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,595,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,3,surgery (radical cystectomy (rc) plus pelvic lymph node dissection [plnd]),enfortumab vedotin;pembrolizumab;surgery (radical cystectomy (rc) plus pelvic lymph node dissection [plnd]),PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT03945162,"Intravesical Photodynamic Therapy (""PDT"") in BCG-Unresponsive/Intolerant Non-Muscle Invasive Bladder Cancer (""NMIBC"") Patients",PHASE2,Phase 2,RECRUITING,90,Theralase® Technologies Inc.,Theralase® Technologies,2,1,0,single_arm,1,ruvidar (tld-1433) bladder infusion and pdt,ruvidar (tld-1433) bladder infusion and pdt,,,MET,0,1,0,0,0,0,0,0,0,,metastatic · squamous
NCT03967977,Study of Tislelizumab in Combination With Chemotherapy Compared to Chemotherapy Alone for Participants With Urothelial Carcinoma,PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,420,BeiGene,BeiGene/BeOne,149,1,1,active_comparator,2,carboplatin;cisplatin;gemcitabine hydrochloride;tislelizumab,,PD-1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · measurable (RECIST)
NCT03978624,Window of Opportunity Study of Pembrolizumab Alone and in Combinations in Bladder Cancer,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,20,UNC Lineberger Comprehensive Cancer Center,UNC Lineberger Comprehensive Cancer Center,85,0,1,multi_experimental,2,pembrolizumab;procedure/surgery,entinostat;pembrolizumab;procedure/surgery,PD-1,Monoclonal Antibody,PD-L1;genomic,1,1,1,0,0,0,0,0,1,PD-L1+,neoadjuvant · adenoca.
NCT03983954,"Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumor, Including a Cohort Expansion in Esophageal Cancer.",PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,NeoTX Therapeutics Ltd.,NeoTX Therapeutics,2,1,1,multi_experimental,11,naptumomab estafenatox and durvalumab,naptumomab estafenatox and durvalumab;obinutuzumab,5T4,Monoclonal Antibody,CD20;ER;HER2;PD-L1;biomarker;biomarker analysis,1,1,1,0,1,0,1,0,1,"PD-L1+, HER2+",metastatic · 1st-line · adenoca. · measurable (RECIST)
NCT04004442,Avelumab in Combination With AVB-S6-500 in Patients With Advanced Urothelial Carcinoma,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,19,University of Oklahoma,University of Oklahoma,23,0,1,single_arm,1,avb-s6-500;avelumab,avb-s6-500;avelumab,PD-L1,Monoclonal Antibody,PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic · adenoca. · measurable (RECIST)
NCT04044859,ADP-A2M4CD8 as Monotherapy or in Combination With Either Nivolumab or Pembrolizumab in HLA-A2+ Subjects With MAGE-A4 Positive Tumors (SURPASS),PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,120,"USWM CT, LLC",USWM CT,8,1,0,single_arm,1,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,autologous genetically modified adp-a2m4cd8 cells alone or in combination with nivolumab every four weeks or pembrolizumab every 6 weeks,MAGE-A4,Cell Therapy,HLA-A2;MAGE-A4,1,1,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04106115,DURvalumab in Combination With S-488210/S-488211 vAccine in Non-muscle Invasive Bladder CancEr,PHASE1;PHASE2,Phase 2,RECRUITING,52,"University College, London","University College, London",51,0,1,single_arm,1,durvalumab;s-488210/s-488211,durvalumab;s-488210/s-488211,PD-L1,Monoclonal Antibody,EGFR;PD-L1,1,1,1,0,0,0,0,0,1,PD-L1+,metastatic
NCT04140526,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,733,"OncoC4, Inc.",OncoC4,10,1,0,multi_experimental,3,onc-392,docetaxel;onc-392;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0,0,0,,metastatic · small-cell · measurable (RECIST)
NCT04152499,"Phase I-II, FIH, TROP2 ADC, Advanced Unresectable/Metastatic Solid Tumors, Refractory to Standard Therapies (KL264-01)",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,1410,Klus Pharma Inc.,Klus Pharma,4,1,0,multi_experimental,11,skb264,skb264,TROP2,ADC,ER;HER2;PR;TROP2,1,1,0,0,1,0,0,1,1,HER2+,metastatic · 2nd-line+ · adenoca. · measurable (RECIST)
